Gene stable ID	Gene type	Gene name
ENSG00000118965	protein_coding	WDR35
ENSG00000105447	protein_coding	GRWD1
ENSG00000156990	protein_coding	RPUSD3
ENSG00000119547	protein_coding	ONECUT2
ENSG00000064607	protein_coding	SUGP2
ENSG00000155304	protein_coding	HSPA13
ENSG00000214922	processed_transcript	HLA-F-AS1
ENSG00000124207	protein_coding	CSE1L
ENSG00000105443	protein_coding	CYTH2
ENSG00000166024	protein_coding	R3HCC1L
ENSG00000172575	protein_coding	RASGRP1
ENSG00000172927	protein_coding	MYEOV
ENSG00000178177	protein_coding	LCORL
ENSG00000204304	protein_coding	PBX2
ENSG00000138604	protein_coding	GLCE
ENSG00000159261	protein_coding	CLDN14
ENSG00000109805	protein_coding	NCAPG
ENSG00000104763	protein_coding	ASAH1
ENSG00000129515	protein_coding	SNX6
ENSG00000166415	protein_coding	WDR72
ENSG00000066926	protein_coding	FECH
ENSG00000135363	protein_coding	LMO2
ENSG00000183011	protein_coding	NAA38
ENSG00000101353	protein_coding	MROH8
ENSG00000131023	protein_coding	LATS1
ENSG00000108830	protein_coding	RND2
ENSG00000151458	protein_coding	ANKRD50
ENSG00000182324	protein_coding	KCNJ14
ENSG00000164256	protein_coding	PRDM9
ENSG00000176454	protein_coding	LPCAT4
ENSG00000183960	protein_coding	KCNH8
ENSG00000167131	protein_coding	CCDC103
ENSG00000174227	protein_coding	PIGG
ENSG00000206508	processed_transcript	HLA-F-AS1
ENSG00000141741	protein_coding	MIEN1
ENSG00000151882	protein_coding	CCL28
ENSG00000169246	protein_coding	NPIPB3
ENSG00000242802	protein_coding	AP5Z1
ENSG00000226200	antisense	SGMS1-AS1
ENSG00000108883	protein_coding	EFTUD2
ENSG00000223577	processed_transcript	HCG27
ENSG00000198964	protein_coding	SGMS1
ENSG00000276879	protein_coding	IFI27L2
ENSG00000099817	protein_coding	POLR2E
ENSG00000258186	transcribed_processed_pseudogene	SLC7A5P2
ENSG00000100314	protein_coding	CABP7
ENSG00000180747	transcribed_unprocessed_pseudogene	SMG1P3
ENSG00000162244	protein_coding	RPL29
ENSG00000161921	protein_coding	CXCL16
ENSG00000165490	protein_coding	DDIAS
ENSG00000100319	protein_coding	ZMAT5
ENSG00000125779	protein_coding	PANK2
ENSG00000129250	protein_coding	KIF1C
ENSG00000176912	bidirectional_promoter_lncRNA	TYMSOS
ENSG00000132199	protein_coding	ENOSF1
ENSG00000172244	protein_coding	C5orf34
ENSG00000128284	protein_coding	APOL3
ENSG00000198730	protein_coding	CTR9
ENSG00000242173	protein_coding	ARHGDIG
ENSG00000164414	protein_coding	SLC35A1
ENSG00000116922	protein_coding	C1orf109
ENSG00000181104	protein_coding	F2R
ENSG00000278326	protein_coding	PPP4R4
ENSG00000164220	protein_coding	F2RL2
ENSG00000161920	protein_coding	MED11
ENSG00000073711	protein_coding	PPP2R3A
ENSG00000101236	protein_coding	RNF24
ENSG00000110321	protein_coding	EIF4G2
ENSG00000145703	protein_coding	IQGAP2
ENSG00000137414	protein_coding	FAM8A1
ENSG00000101052	protein_coding	IFT52
ENSG00000073150	protein_coding	PANX2
ENSG00000170365	protein_coding	SMAD1
ENSG00000131379	protein_coding	C3orf20
ENSG00000088325	protein_coding	TPX2
ENSG00000182676	protein_coding	PPP1R27
ENSG00000117906	protein_coding	RCN2
ENSG00000236882	lincRNA	LINC01554
ENSG00000056558	protein_coding	TRAF1
ENSG00000095002	protein_coding	MSH2
ENSG00000137200	protein_coding	CMTR1
ENSG00000108578	protein_coding	BLMH
ENSG00000250582	antisense	SMAD1-AS2
ENSG00000092208	protein_coding	GEMIN2
ENSG00000106688	protein_coding	SLC1A1
ENSG00000169139	protein_coding	UBE2V2
ENSG00000262655	protein_coding	SPON1
ENSG00000133742	protein_coding	CA1
ENSG00000155893	protein_coding	PXYLP1
ENSG00000138002	protein_coding	IFT172
ENSG00000148690	protein_coding	FRA10AC1
ENSG00000234076	lincRNA	TPRG1-AS1
ENSG00000276141	transcribed_unprocessed_pseudogene	WHAMMP3
ENSG00000259062	antisense	ACTN1-AS1
ENSG00000185621	protein_coding	LMLN
ENSG00000167112	protein_coding	TRUB2
ENSG00000145506	protein_coding	NKD2
ENSG00000159263	protein_coding	SIM2
ENSG00000136834	protein_coding	OR1J1
ENSG00000004961	protein_coding	HCCS
ENSG00000153976	protein_coding	HS3ST3A1
ENSG00000198356	protein_coding	ASNA1
ENSG00000163581	protein_coding	SLC2A2
ENSG00000184076	protein_coding	UQCR10
ENSG00000106686	protein_coding	SPATA6L
ENSG00000141028	unprocessed_pseudogene	CDRT15P1
ENSG00000006695	protein_coding	COX10
ENSG00000175854	protein_coding	SWI5
ENSG00000278023	protein_coding	RDM1
ENSG00000006638	protein_coding	TBXA2R
ENSG00000169710	protein_coding	FASN
ENSG00000082269	protein_coding	FAM135A
ENSG00000236088	processed_transcript	COX10-AS1
ENSG00000112619	protein_coding	PRPH2
ENSG00000171314	protein_coding	PGAM1
ENSG00000131100	protein_coding	ATP6V1E1
ENSG00000169862	protein_coding	CTNND2
ENSG00000215045	protein_coding	GRID2IP
ENSG00000167110	protein_coding	GOLGA2
ENSG00000171311	protein_coding	EXOSC1
ENSG00000078699	protein_coding	CBFA2T2
ENSG00000259883	antisense	EHD4-AS1
ENSG00000137877	protein_coding	SPTBN5
ENSG00000131097	protein_coding	HIGD1B
ENSG00000183336	protein_coding	BOLA2
ENSG00000213648	protein_coding	SULT1A4
ENSG00000124659	protein_coding	TBCC
ENSG00000079101	protein_coding	CLUL1
ENSG00000177311	protein_coding	ZBTB38
ENSG00000049449	protein_coding	RCN1
ENSG00000129625	protein_coding	REEP5
ENSG00000118785	protein_coding	SPP1
ENSG00000131095	protein_coding	GFAP
ENSG00000091831	protein_coding	ESR1
ENSG00000113552	protein_coding	GNPDA1
ENSG00000109911	protein_coding	ELP4
ENSG00000078401	protein_coding	EDN1
ENSG00000167755	protein_coding	KLK6
ENSG00000159363	protein_coding	ATP13A2
ENSG00000119335	protein_coding	SET
ENSG00000145029	protein_coding	NICN1
ENSG00000281184	processed_transcript	PSMB1
ENSG00000181625	protein_coding	SLX1B
ENSG00000243789	protein_coding	JMJD7
ENSG00000153037	protein_coding	SRP19
ENSG00000176890	protein_coding	TYMS
ENSG00000137561	protein_coding	TTPA
ENSG00000108590	protein_coding	MED31
ENSG00000103966	protein_coding	EHD4
ENSG00000131931	protein_coding	THAP1
ENSG00000172123	protein_coding	SLFN12
ENSG00000224723	unprocessed_pseudogene	GUSBP10
ENSG00000260280	processed_transcript	SLX1B-SULT1A4
ENSG00000129235	protein_coding	TXNDC17
ENSG00000026025	protein_coding	VIM
ENSG00000236225	unprocessed_pseudogene	HCG4
ENSG00000146223	protein_coding	RPL7L1
ENSG00000165417	protein_coding	GTF2A1
ENSG00000164879	protein_coding	CA3
ENSG00000216740	processed_pseudogene	ANXA2P3
ENSG00000164086	protein_coding	DUSP7
ENSG00000141968	protein_coding	VAV1
ENSG00000142149	protein_coding	HUNK
ENSG00000140006	protein_coding	WDR89
ENSG00000167693	protein_coding	NXN
ENSG00000185015	protein_coding	CA13
ENSG00000198920	protein_coding	KIAA0753
ENSG00000132031	protein_coding	MATN3
ENSG00000131018	protein_coding	SYNE1
ENSG00000157992	protein_coding	KRTCAP3
ENSG00000186867	protein_coding	QRFPR
ENSG00000270673	lincRNA	YTHDF3-AS1
ENSG00000112159	protein_coding	MDN1
ENSG00000278458	protein_coding	KANSL1
ENSG00000104267	protein_coding	CA2
ENSG00000164733	protein_coding	CTSB
ENSG00000048471	protein_coding	SNX29
ENSG00000185728	protein_coding	YTHDF3
ENSG00000221923	protein_coding	ZNF880
ENSG00000281687	transcribed_unprocessed_pseudogene	SDHAP2
ENSG00000151553	protein_coding	FAM160B1
ENSG00000162878	protein_coding	PKDCC
ENSG00000134982	protein_coding	APC
ENSG00000056097	protein_coding	ZFR
ENSG00000109670	protein_coding	FBXW7
ENSG00000160299	protein_coding	PCNT
ENSG00000139990	protein_coding	DCAF5
ENSG00000282185	protein_coding	PTPRN2
ENSG00000138794	protein_coding	CASP6
ENSG00000218823	protein_coding	PAPOLB
ENSG00000068697	protein_coding	LAPTM4A
ENSG00000147316	protein_coding	MCPH1
ENSG00000183978	protein_coding	COA3
ENSG00000129749	protein_coding	CHRNA10
ENSG00000117122	protein_coding	MFAP2
ENSG00000168092	protein_coding	PAFAH1B2
ENSG00000126562	protein_coding	WNK4
ENSG00000101144	protein_coding	BMP7
ENSG00000175265	protein_coding	GOLGA8A
ENSG00000282799	antisense	KANSL1-AS1
ENSG00000229124	antisense	VIM-AS1
ENSG00000151917	protein_coding	BEND6
ENSG00000148985	protein_coding	PGAP2
ENSG00000269834	processed_transcript	ZNF528-AS1
ENSG00000122367	protein_coding	LDB3
ENSG00000170113	protein_coding	NIPA1
ENSG00000007372	protein_coding	PAX6
ENSG00000154080	protein_coding	CHST9
ENSG00000197312	protein_coding	DDI2
ENSG00000277791	protein_coding	PSMB3
ENSG00000126821	protein_coding	SGPP1
ENSG00000091879	protein_coding	ANGPT2
ENSG00000163536	protein_coding	SERPINI1
ENSG00000091106	protein_coding	NLRC4
ENSG00000165821	protein_coding	SALL2
ENSG00000215695	protein_coding	RSC1A1
ENSG00000174652	protein_coding	ZNF266
ENSG00000235376	protein_coding	RPEL1
ENSG00000224313	protein_coding	DXO
ENSG00000118518	protein_coding	RNF146
ENSG00000119714	protein_coding	GPR68
ENSG00000110092	protein_coding	CCND1
ENSG00000174579	protein_coding	MSL2
ENSG00000099331	protein_coding	MYO9B
ENSG00000133107	protein_coding	TRPC4
ENSG00000124789	protein_coding	NUP153
ENSG00000182400	protein_coding	TRAPPC6B
ENSG00000151611	protein_coding	MMAA
ENSG00000132517	protein_coding	SLC52A1
ENSG00000084070	protein_coding	SMAP2
ENSG00000113621	protein_coding	TXNDC15
ENSG00000278767	protein_coding	SERPINA10
ENSG00000134504	protein_coding	KCTD1
ENSG00000147454	protein_coding	SLC25A37
ENSG00000259736	antisense	CRTC3-AS1
ENSG00000203722	protein_coding	RAET1G
ENSG00000248496	protein_coding	ZBED9
ENSG00000281237	transcribed_unprocessed_pseudogene	SDHAP2
ENSG00000167555	protein_coding	ZNF528
ENSG00000169855	protein_coding	ROBO1
ENSG00000140577	protein_coding	CRTC3
ENSG00000164087	protein_coding	POC1A
ENSG00000105298	protein_coding	CACTIN
ENSG00000040731	protein_coding	CDH10
ENSG00000120256	protein_coding	LRP11
ENSG00000140022	protein_coding	STON2
ENSG00000008130	protein_coding	NADK
ENSG00000078246	protein_coding	TULP3
ENSG00000166444	protein_coding	ST5
ENSG00000132467	protein_coding	UTP3
ENSG00000120265	protein_coding	PCMT1
ENSG00000119414	protein_coding	PPP6C
ENSG00000135387	protein_coding	CAPRIN1
ENSG00000115884	protein_coding	SDC1
ENSG00000060237	protein_coding	WNK1
ENSG00000130038	protein_coding	CRACR2A
ENSG00000167034	protein_coding	NKX3-1
ENSG00000134690	protein_coding	CDCA8
ENSG00000018189	protein_coding	RUFY3
ENSG00000105364	protein_coding	MRPL4
ENSG00000119820	protein_coding	YIPF4
ENSG00000183527	protein_coding	PSMG1
ENSG00000234651	protein_coding	BAG6
ENSG00000276432	protein_coding	RDM1
ENSG00000137154	protein_coding	RPS6
ENSG00000159674	protein_coding	SPON2
ENSG00000143870	protein_coding	PDIA6
ENSG00000112137	protein_coding	PHACTR1
ENSG00000160058	protein_coding	BSDC1
ENSG00000111206	protein_coding	FOXM1
ENSG00000101057	protein_coding	MYBL2
ENSG00000156374	protein_coding	PCGF6
ENSG00000204370	protein_coding	SDHD
ENSG00000166342	protein_coding	NETO1
ENSG00000100941	protein_coding	PNN
ENSG00000158555	protein_coding	GDPD5
ENSG00000176998	unprocessed_pseudogene	HCG4
ENSG00000145979	protein_coding	TBC1D7
ENSG00000196724	protein_coding	ZNF418
ENSG00000164266	protein_coding	SPINK1
ENSG00000198633	protein_coding	ZNF534
ENSG00000140750	protein_coding	ARHGAP17
ENSG00000053702	protein_coding	NRIP2
ENSG00000103381	protein_coding	CPPED1
ENSG00000110713	protein_coding	NUP98
ENSG00000165661	protein_coding	QSOX2
ENSG00000108849	protein_coding	PPY
ENSG00000132570	protein_coding	PCBD2
ENSG00000165832	protein_coding	TRUB1
ENSG00000225733	antisense	FGD5-AS1
ENSG00000151065	protein_coding	DCP1B
ENSG00000152705	protein_coding	CATSPER3
ENSG00000090339	protein_coding	ICAM1
ENSG00000177463	protein_coding	NR2C2
ENSG00000205403	protein_coding	CFI
ENSG00000164520	protein_coding	RAET1E
ENSG00000116209	protein_coding	TMEM59
ENSG00000164265	protein_coding	SCGB3A2
ENSG00000053747	protein_coding	LAMA3
ENSG00000150782	protein_coding	IL18
ENSG00000065308	protein_coding	TRAM2
ENSG00000118985	protein_coding	ELL2
ENSG00000178776	protein_coding	C5orf46
ENSG00000205838	protein_coding	TTC23L
ENSG00000004478	protein_coding	FKBP4
ENSG00000105700	protein_coding	KXD1
ENSG00000170915	protein_coding	PAQR8
ENSG00000120253	protein_coding	NUP43
ENSG00000096093	protein_coding	EFHC1
ENSG00000123739	protein_coding	PLA2G12A
ENSG00000104164	protein_coding	BLOC1S6
ENSG00000164307	protein_coding	ERAP1
ENSG00000159692	protein_coding	CTBP1
ENSG00000258405	protein_coding	ZNF578
ENSG00000119392	protein_coding	GLE1
ENSG00000197580	protein_coding	BCO2
ENSG00000204359	protein_coding	CFB
ENSG00000274810	protein_coding	NPHP3-ACAD11
ENSG00000127483	protein_coding	HP1BP3
ENSG00000279897	transcribed_unprocessed_pseudogene	BIRC6-AS2
ENSG00000115760	protein_coding	BIRC6
ENSG00000151067	protein_coding	CACNA1C
ENSG00000129048	protein_coding	ACKR4
ENSG00000070785	protein_coding	EIF2B3
ENSG00000184307	protein_coding	ZDHHC23
ENSG00000113971	protein_coding	NPHP3
ENSG00000143882	protein_coding	ATP6V1C2
ENSG00000143924	protein_coding	EML4
ENSG00000125834	protein_coding	STK35
ENSG00000180787	protein_coding	ZFP3
ENSG00000139977	protein_coding	NAA30
ENSG00000167157	protein_coding	PRRX2
ENSG00000142279	protein_coding	WTIP
ENSG00000136940	protein_coding	PDCL
ENSG00000175426	protein_coding	PCSK1
ENSG00000154783	protein_coding	FGD5
ENSG00000136235	protein_coding	GPNMB
ENSG00000025796	protein_coding	SEC63
ENSG00000178202	protein_coding	KDELC2
ENSG00000163376	protein_coding	KBTBD8
ENSG00000139517	protein_coding	LNX2
ENSG00000081307	protein_coding	UBA5
ENSG00000023330	protein_coding	ALAS1
ENSG00000280927	antisense	CTBP1-AS
ENSG00000168803	protein_coding	ADAL
ENSG00000015676	protein_coding	NUDCD3
ENSG00000161996	protein_coding	WDR90
ENSG00000278270	protein_coding	RPS9
ENSG00000129204	protein_coding	USP6
ENSG00000182973	protein_coding	CNOT10
ENSG00000177370	protein_coding	TIMM22
ENSG00000101306	protein_coding	MYLK2
ENSG00000152454	protein_coding	ZNF256
ENSG00000285258	protein_coding	ATXN7
ENSG00000159842	protein_coding	ABR
ENSG00000074370	protein_coding	ATP2A3
ENSG00000160446	protein_coding	ZDHHC12
ENSG00000086065	protein_coding	CHMP5
ENSG00000151612	protein_coding	ZNF827
ENSG00000153113	protein_coding	CAST
ENSG00000150783	protein_coding	TEX12
ENSG00000078369	protein_coding	GNB1
ENSG00000163634	protein_coding	THOC7
ENSG00000227855	transcribed_unprocessed_pseudogene	DPY19L2P3
ENSG00000092068	protein_coding	SLC7A8
ENSG00000137807	protein_coding	KIF23
ENSG00000184227	protein_coding	ACOT1
ENSG00000240303	protein_coding	ACAD11
ENSG00000103351	protein_coding	CLUAP1
ENSG00000127804	protein_coding	METTL16
ENSG00000100105	protein_coding	PATZ1
ENSG00000160447	protein_coding	PKN3
ENSG00000187801	protein_coding	ZFP69B
ENSG00000187105	protein_coding	HEATR4
ENSG00000248546	processed_pseudogene	ANP32C
ENSG00000163632	protein_coding	C3orf49
ENSG00000047648	protein_coding	ARHGAP6
ENSG00000237515	protein_coding	SHISA9
ENSG00000240549	antisense	THOC7-AS1
ENSG00000163635	protein_coding	ATXN7
ENSG00000131368	protein_coding	MRPS25
ENSG00000170006	protein_coding	TMEM154
ENSG00000168566	protein_coding	SNRNP48
ENSG00000164796	protein_coding	CSMD3
ENSG00000168522	protein_coding	FNTA
ENSG00000228839	antisense	PIK3IP1-AS1
ENSG00000100100	protein_coding	PIK3IP1
ENSG00000071537	protein_coding	SEL1L
ENSG00000161653	protein_coding	NAGS
ENSG00000136933	protein_coding	RABEPK
ENSG00000137672	protein_coding	TRPC6
ENSG00000167840	protein_coding	ZNF232
ENSG00000227110	antisense	LMCD1-AS1
ENSG00000100325	protein_coding	ASCC2
ENSG00000268751	lincRNA	SCGB1B2P
ENSG00000237119	lincRNA	LINC01056
ENSG00000071282	protein_coding	LMCD1
ENSG00000185361	protein_coding	TNFAIP8L1
ENSG00000058063	protein_coding	ATP11B
ENSG00000221974	protein_coding	GTF2H4
ENSG00000162302	protein_coding	RPS6KA4
ENSG00000074842	protein_coding	MYDGF
ENSG00000120925	protein_coding	RNF170
ENSG00000160360	protein_coding	GPSM1
ENSG00000107518	protein_coding	ATRNL1
ENSG00000091947	protein_coding	TMEM101
ENSG00000235280	antisense	MCF2L-AS1
ENSG00000160255	protein_coding	ITGB2
ENSG00000186919	protein_coding	ZACN
ENSG00000126217	protein_coding	MCF2L
ENSG00000175352	protein_coding	NRIP3
ENSG00000169989	protein_coding	TIGD4
ENSG00000277221	protein_coding	LRRC37A2
ENSG00000182687	protein_coding	GALR2
ENSG00000167881	protein_coding	SRP68
ENSG00000168172	protein_coding	HOOK3
ENSG00000218537	antisense	MIF-AS1
ENSG00000187796	protein_coding	CARD9
ENSG00000142166	protein_coding	IFNAR1
ENSG00000122390	protein_coding	NAA60
ENSG00000140497	protein_coding	SCAMP2
ENSG00000225998	protein_coding	LSM2
ENSG00000111639	protein_coding	MRPL51
ENSG00000164051	protein_coding	CCDC51
ENSG00000119673	protein_coding	ACOT2
ENSG00000144560	protein_coding	VGLL4
ENSG00000067369	protein_coding	TP53BP1
ENSG00000177076	protein_coding	ACER2
ENSG00000213221	protein_coding	DNLZ
ENSG00000183317	protein_coding	EPHA10
ENSG00000174799	protein_coding	CEP135
ENSG00000232112	protein_coding	TMA7
ENSG00000044574	protein_coding	HSPA5
ENSG00000080503	protein_coding	SMARCA2
ENSG00000172340	protein_coding	SUCLG2
ENSG00000182473	protein_coding	EXOC7
ENSG00000247596	protein_coding	TWF2
ENSG00000106070	protein_coding	GRB10
ENSG00000197006	protein_coding	METTL9
ENSG00000010292	protein_coding	NCAPD2
ENSG00000221821	protein_coding	C6orf226
ENSG00000133895	protein_coding	MEN1
ENSG00000124191	protein_coding	TOX2
ENSG00000100626	protein_coding	GALNT16
ENSG00000170324	protein_coding	FRMPD2
ENSG00000136888	protein_coding	ATP6V1G1
ENSG00000131507	protein_coding	NDFIP1
ENSG00000149577	protein_coding	SIDT2
ENSG00000165185	protein_coding	KIAA1958
ENSG00000136381	protein_coding	IREB2
ENSG00000188338	protein_coding	SLC38A3
ENSG00000137819	protein_coding	PAQR5
ENSG00000140749	protein_coding	IGSF6
ENSG00000119471	protein_coding	HSDL2
ENSG00000137161	protein_coding	CNPY3
ENSG00000179630	protein_coding	LACC1
ENSG00000181751	protein_coding	C5orf30
ENSG00000113578	protein_coding	FGF1
ENSG00000224186	antisense	C5orf66
ENSG00000151773	protein_coding	CCDC122
ENSG00000237100	protein_coding	C6orf136
ENSG00000112659	protein_coding	CUL9
ENSG00000113648	protein_coding	H2AFY
ENSG00000204622	transcribed_unprocessed_pseudogene	HLA-J
ENSG00000187815	protein_coding	ZFP69
ENSG00000213538	processed_pseudogene	KRT8P41
ENSG00000175356	protein_coding	SCUBE2
ENSG00000124587	protein_coding	PEX6
ENSG00000051180	protein_coding	RAD51
ENSG00000081177	protein_coding	EXD2
ENSG00000168143	protein_coding	FAM83B
ENSG00000125257	protein_coding	ABCC4
ENSG00000166441	protein_coding	RPL27A
ENSG00000166704	protein_coding	ZNF606
ENSG00000107779	protein_coding	BMPR1A
ENSG00000124713	protein_coding	GNMT
ENSG00000241316	lincRNA	SUCLG2-AS1
ENSG00000227262	unprocessed_pseudogene	HCG4B
ENSG00000206503	protein_coding	HLA-A
ENSG00000260233	processed_transcript	SSSCA1-AS1
ENSG00000178821	protein_coding	TMEM52
ENSG00000182240	protein_coding	BACE2
ENSG00000197548	protein_coding	ATG7
ENSG00000228065	lincRNA	LINC01515
ENSG00000112874	protein_coding	NUDT12
ENSG00000163377	protein_coding	FAM19A4
ENSG00000166436	protein_coding	TRIM66
ENSG00000233723	lincRNA	LINC01122
ENSG00000173465	protein_coding	SSSCA1
ENSG00000105197	protein_coding	TIMM50
ENSG00000010270	protein_coding	STARD3NL
ENSG00000149591	protein_coding	TAGLN
ENSG00000162461	protein_coding	SLC25A34
ENSG00000108582	protein_coding	CPD
ENSG00000109063	protein_coding	MYH3
ENSG00000118412	protein_coding	CASP8AP2
ENSG00000185624	protein_coding	P4HB
ENSG00000137822	protein_coding	TUBGCP4
ENSG00000176155	protein_coding	CCDC57
ENSG00000176973	protein_coding	FAM89B
ENSG00000116786	protein_coding	PLEKHM2
ENSG00000130005	protein_coding	GAMT
ENSG00000180530	protein_coding	NRIP1
ENSG00000138622	protein_coding	HCN4
ENSG00000106804	protein_coding	C5
ENSG00000197299	protein_coding	BLM
ENSG00000164244	protein_coding	PRRC1
ENSG00000231904	unprocessed_pseudogene	HLA-H
ENSG00000228524	transcribed_unprocessed_pseudogene	HLA-J
ENSG00000227039	antisense	ITGB2-AS1
ENSG00000164144	protein_coding	ARFIP1
ENSG00000181026	protein_coding	AEN
ENSG00000280109	antisense	PLAC4
ENSG00000160613	protein_coding	PCSK7
ENSG00000122574	protein_coding	WIPF3
ENSG00000224639	processed_transcript	C4B
ENSG00000048392	protein_coding	RRM2B
ENSG00000269811	processed_pseudogene	SCGB2B3P
ENSG00000245849	processed_transcript	RAD51-AS1
ENSG00000165996	protein_coding	HACD1
ENSG00000103343	protein_coding	ZNF174
ENSG00000183230	protein_coding	CTNNA3
ENSG00000134440	protein_coding	NARS
ENSG00000140265	protein_coding	ZSCAN29
ENSG00000146038	protein_coding	DCDC2
ENSG00000164002	protein_coding	EXO5
ENSG00000125650	protein_coding	PSPN
ENSG00000125652	protein_coding	ALKBH7
ENSG00000140987	protein_coding	ZSCAN32
ENSG00000116062	protein_coding	MSH6
ENSG00000229154	antisense	KCNQ5-AS1
ENSG00000185760	protein_coding	KCNQ5
ENSG00000142609	protein_coding	CFAP74
ENSG00000237071	protein_coding	TRIM27
ENSG00000109534	protein_coding	GAR1
ENSG00000069011	protein_coding	PITX1
ENSG00000215252	protein_coding	GOLGA8B
ENSG00000133818	protein_coding	RRAS2
ENSG00000126581	protein_coding	BECN1
ENSG00000148344	protein_coding	PTGES
ENSG00000129473	protein_coding	BCL2L2
ENSG00000205189	protein_coding	ZBTB10
ENSG00000225978	lincRNA	HAR1A
ENSG00000182175	protein_coding	RGMA
ENSG00000231133	lincRNA	HAR1B
ENSG00000215271	protein_coding	HOMEZ
ENSG00000175595	protein_coding	ERCC4
ENSG00000167984	protein_coding	NLRC3
ENSG00000131242	protein_coding	RAB11FIP4
ENSG00000151812	protein_coding	SLC35F4
ENSG00000149658	protein_coding	YTHDF1
ENSG00000105281	protein_coding	SLC1A5
ENSG00000224120	protein_coding	C6orf136
ENSG00000196204	transcribed_unprocessed_pseudogene	RNF216P1
ENSG00000112425	protein_coding	EPM2A
ENSG00000186184	protein_coding	POLR1D
ENSG00000164111	protein_coding	ANXA5
ENSG00000229215	protein_coding	HLA-A
ENSG00000235194	protein_coding	PPP1R3E
ENSG00000143952	protein_coding	VPS54
ENSG00000160471	protein_coding	COX6B2
ENSG00000181634	protein_coding	TNFSF15
ENSG00000079313	protein_coding	REXO1
ENSG00000163512	protein_coding	AZI2
ENSG00000176563	protein_coding	CNTD1
ENSG00000277377	protein_coding	SERPINA1
ENSG00000243406	transcribed_unprocessed_pseudogene	MRPS31P5
ENSG00000169398	protein_coding	PTK2
ENSG00000187134	protein_coding	AKR1C1
ENSG00000206341	unprocessed_pseudogene	HLA-H
ENSG00000137460	protein_coding	FHDC1
ENSG00000100836	protein_coding	PABPN1
ENSG00000213888	lincRNA	LINC01521
ENSG00000006071	protein_coding	ABCC8
ENSG00000131467	protein_coding	PSME3
ENSG00000168116	protein_coding	KIAA1586
ENSG00000138081	protein_coding	FBXO11
ENSG00000144566	protein_coding	RAB5A
ENSG00000167981	protein_coding	ZNF597
ENSG00000034239	protein_coding	EFCAB1
ENSG00000232196	protein_coding	MTRNR2L4
ENSG00000146587	protein_coding	RBAK
ENSG00000179913	protein_coding	B3GNT3
ENSG00000259107	lincRNA	LINC00911
ENSG00000233844	sense_intronic	KCNQ5-IT1
ENSG00000106952	protein_coding	TNFSF8
ENSG00000072778	protein_coding	ACADVL
ENSG00000278788	protein_coding	SBNO2
ENSG00000197776	protein_coding	KLHDC1
ENSG00000277361	protein_coding	OCA2
ENSG00000090372	protein_coding	STRN4
ENSG00000185070	protein_coding	FLRT2
ENSG00000148835	protein_coding	TAF5
ENSG00000183977	protein_coding	PP2D1
ENSG00000276293	protein_coding	PIP4K2B
ENSG00000188266	protein_coding	HYKK
ENSG00000055917	protein_coding	PUM2
ENSG00000109265	protein_coding	KIAA1211
ENSG00000041982	protein_coding	TNC
ENSG00000176428	protein_coding	VPS37D
ENSG00000099795	protein_coding	NDUFB7
ENSG00000109654	protein_coding	TRIM2
ENSG00000111224	protein_coding	PARP11
ENSG00000173432	protein_coding	SAA1
ENSG00000136936	protein_coding	XPA
ENSG00000101197	protein_coding	BIRC7
ENSG00000165410	protein_coding	CFL2
ENSG00000159267	protein_coding	HLCS
ENSG00000185697	protein_coding	MYBL1
ENSG00000148671	protein_coding	ADIRF
ENSG00000166401	protein_coding	SERPINB8
ENSG00000267796	protein_coding	LIN37
ENSG00000089327	protein_coding	FXYD5
ENSG00000173267	protein_coding	SNCG
ENSG00000137332	protein_coding	DDR1
ENSG00000179820	protein_coding	MYADM
ENSG00000205155	protein_coding	PSENEN
ENSG00000133083	protein_coding	DCLK1
ENSG00000204625	lincRNA	HCG9
ENSG00000181035	protein_coding	SLC25A42
ENSG00000144642	protein_coding	RBMS3
ENSG00000260565	processed_transcript	ERVK13-1
ENSG00000110723	protein_coding	EXPH5
ENSG00000271880	processed_transcript	AGAP11
ENSG00000136816	protein_coding	TOR1B
ENSG00000172239	protein_coding	PAIP1
ENSG00000173442	protein_coding	EHBP1L1
ENSG00000157227	protein_coding	MMP14
ENSG00000161654	protein_coding	LSM12
ENSG00000213406	processed_pseudogene	ANXA2P1
ENSG00000081923	protein_coding	ATP8B1
ENSG00000136827	protein_coding	TOR1A
ENSG00000106089	protein_coding	STX1A
ENSG00000160445	protein_coding	ZER1
ENSG00000221887	protein_coding	HMSD
ENSG00000156928	protein_coding	MALSU1
ENSG00000184708	protein_coding	EIF4ENIF1
ENSG00000240230	protein_coding	COX19
ENSG00000136247	protein_coding	ZDHHC4
ENSG00000154760	protein_coding	SLFN13
ENSG00000136231	protein_coding	IGF2BP3
ENSG00000183876	protein_coding	ARSI
ENSG00000119950	protein_coding	MXI1
ENSG00000224805	antisense	LINC00853
ENSG00000105963	protein_coding	ADAP1
ENSG00000105419	protein_coding	MEIS3
ENSG00000168884	protein_coding	TNIP2
ENSG00000126107	protein_coding	HECTD3
ENSG00000108176	protein_coding	DNAJC12
ENSG00000141665	protein_coding	FBXO15
ENSG00000198826	protein_coding	ARHGAP11A
ENSG00000275594	protein_coding	ADAM32
ENSG00000223692	sense_intronic	DIP2A-IT1
