Well,Plate,well_plate,IsVariable,Main
G01,6725,G01_6725,No,0
H12,6725,H12_6725,No,0
H11,6725,H11_6725,No,0
H10,6725,H10_6725,No,0
H09,6725,H09_6725,No,0
H08,6725,H08_6725,No,0
H07,6725,H07_6725,No,0
H06,6725,H06_6725,No,0
H05,6725,H05_6725,No,0
H04,6725,H04_6725,No,0
H03,6725,H03_6725,No,0
H02,6725,H02_6725,No,0
H01,6725,H01_6725,No,0
A12,6731,A12_6731,No,0
A11,6731,A11_6731,No,0
A10,6731,A10_6731,No,0
A09,6731,A09_6731,No,0
A08,6731,A08_6731,No,0
A07,6731,A07_6731,No,0
A06,6731,A06_6731,No,0
A05,6731,A05_6731,No,0
A04,6731,A04_6731,No,0
A02,6731,A02_6731,No,0
A01,6731,A01_6731,No,0
B12,6731,B12_6731,No,0
B11,6731,B11_6731,No,0
B10,6731,B10_6731,No,0
B09,6731,B09_6731,No,0
B08,6731,B08_6731,No,0
B07,6731,B07_6731,No,0
B06,6731,B06_6731,No,0
B05,6731,B05_6731,No,0
B04,6731,B04_6731,No,0
B03,6731,B03_6731,No,0
B02,6731,B02_6731,No,0
B01,6731,B01_6731,No,0
C12,6731,C12_6731,No,0
C11,6731,C11_6731,No,0
C10,6731,C10_6731,No,0
C09,6731,C09_6731,No,0
C08,6731,C08_6731,No,0
C07,6731,C07_6731,No,0
C06,6731,C06_6731,No,0
C05,6731,C05_6731,No,0
C04,6731,C04_6731,No,0
C03,6731,C03_6731,No,0
C02,6731,C02_6731,No,0
C01,6731,C01_6731,No,0
D12,6731,D12_6731,No,0
D11,6731,D11_6731,No,0
D10,6731,D10_6731,No,0
D09,6731,D09_6731,No,0
D08,6731,D08_6731,No,0
D07,6731,D07_6731,No,0
D06,6731,D06_6731,No,0
D05,6731,D05_6731,No,0
D04,6731,D04_6731,No,0
D03,6731,D03_6731,No,0
D02,6731,D02_6731,No,0
D01,6731,D01_6731,No,0
E12,6731,E12_6731,No,0
E11,6731,E11_6731,No,0
E10,6731,E10_6731,No,0
E09,6731,E09_6731,No,0
E08,6731,E08_6731,No,0
E07,6731,E07_6731,No,0
E06,6731,E06_6731,No,0
E05,6731,E05_6731,No,0
E04,6731,E04_6731,No,0
E03,6731,E03_6731,No,0
E02,6731,E02_6731,No,0
E01,6731,E01_6731,No,0
F12,6731,F12_6731,No,0
F11,6731,F11_6731,No,0
F10,6731,F10_6731,No,0
F09,6731,F09_6731,No,0
F08,6731,F08_6731,No,0
F07,6731,F07_6731,No,0
F06,6731,F06_6731,No,0
F05,6731,F05_6731,No,0
F04,6731,F04_6731,No,0
F03,6731,F03_6731,No,0
F02,6731,F02_6731,No,0
F01,6731,F01_6731,No,0
G12,6731,G12_6731,No,0
G11,6731,G11_6731,No,0
G10,6731,G10_6731,No,0
G09,6731,G09_6731,No,0
G08,6731,G08_6731,No,0
G07,6731,G07_6731,No,0
G06,6731,G06_6731,No,0
G05,6731,G05_6731,No,0
G04,6731,G04_6731,No,0
G03,6731,G03_6731,No,0
G02,6731,G02_6731,No,0
G01,6731,G01_6731,No,0
H12,6731,H12_6731,No,0
H11,6731,H11_6731,No,0
H10,6731,H10_6731,No,0
H09,6731,H09_6731,No,0
H08,6731,H08_6731,No,0
H07,6731,H07_6731,No,0
H06,6731,H06_6731,No,0
H05,6731,H05_6731,No,0
H03,6731,H03_6731,No,0
H02,6731,H02_6731,No,0
H01,6731,H01_6731,No,0
A12,6734,A12_6734,No,0
A11,6734,A11_6734,No,0
A10,6734,A10_6734,No,0
A09,6734,A09_6734,No,0
A08,6734,A08_6734,No,0
A07,6734,A07_6734,No,0
A06,6734,A06_6734,No,0
A05,6734,A05_6734,No,0
A04,6734,A04_6734,No,0
A03,6734,A03_6734,No,0
A02,6734,A02_6734,No,0
A01,6734,A01_6734,No,0
B12,6734,B12_6734,No,0
B11,6734,B11_6734,No,0
B10,6734,B10_6734,No,0
B09,6734,B09_6734,No,0
B08,6734,B08_6734,No,0
B07,6734,B07_6734,No,0
B06,6734,B06_6734,No,0
B05,6734,B05_6734,No,0
B04,6734,B04_6734,No,0
B03,6734,B03_6734,No,0
B02,6734,B02_6734,No,0
B01,6734,B01_6734,No,0
C12,6734,C12_6734,No,0
C11,6734,C11_6734,No,0
C10,6734,C10_6734,No,0
C09,6734,C09_6734,No,0
C08,6734,C08_6734,No,0
C07,6734,C07_6734,No,0
C06,6734,C06_6734,No,0
C05,6734,C05_6734,No,0
C04,6734,C04_6734,No,0
C03,6734,C03_6734,No,0
C02,6734,C02_6734,No,0
C01,6734,C01_6734,No,0
D12,6734,D12_6734,No,0
D11,6734,D11_6734,No,0
D10,6734,D10_6734,No,0
D09,6734,D09_6734,No,0
D08,6734,D08_6734,No,0
D07,6734,D07_6734,No,0
D06,6734,D06_6734,No,0
D05,6734,D05_6734,No,0
D04,6734,D04_6734,No,0
D03,6734,D03_6734,No,0
D02,6734,D02_6734,No,0
D01,6734,D01_6734,No,0
E12,6734,E12_6734,No,0
E11,6734,E11_6734,No,0
E10,6734,E10_6734,No,0
E09,6734,E09_6734,No,0
E08,6734,E08_6734,No,0
E07,6734,E07_6734,No,0
E06,6734,E06_6734,No,0
E05,6734,E05_6734,No,0
E03,6734,E03_6734,No,0
E02,6734,E02_6734,No,0
E01,6734,E01_6734,No,0
F12,6734,F12_6734,No,0
F11,6734,F11_6734,No,0
F10,6734,F10_6734,No,0
F09,6734,F09_6734,No,0
F08,6734,F08_6734,No,0
F07,6734,F07_6734,No,0
F06,6734,F06_6734,No,0
F04,6734,F04_6734,No,0
F03,6734,F03_6734,No,0
F02,6734,F02_6734,No,0
F01,6734,F01_6734,No,0
G12,6734,G12_6734,No,0
G11,6734,G11_6734,No,0
G10,6734,G10_6734,No,0
G09,6734,G09_6734,No,0
G08,6734,G08_6734,No,0
G07,6734,G07_6734,No,0
G06,6734,G06_6734,No,0
G05,6734,G05_6734,No,0
G04,6734,G04_6734,No,0
G03,6734,G03_6734,No,0
G02,6734,G02_6734,No,0
G01,6734,G01_6734,No,0
H12,6734,H12_6734,No,0
H11,6734,H11_6734,No,0
H10,6734,H10_6734,No,0
H09,6734,H09_6734,No,0
H08,6734,H08_6734,No,0
H07,6734,H07_6734,No,0
H06,6734,H06_6734,No,0
H05,6734,H05_6734,No,0
H03,6734,H03_6734,No,0
H02,6734,H02_6734,No,0
H01,6734,H01_6734,No,0
A12,6735,A12_6735,No,0
A11,6735,A11_6735,No,0
A10,6735,A10_6735,No,0
A09,6735,A09_6735,No,0
A08,6735,A08_6735,No,0
A07,6735,A07_6735,No,0
A06,6735,A06_6735,No,0
A05,6735,A05_6735,No,0
A04,6735,A04_6735,No,0
A03,6735,A03_6735,No,0
A02,6735,A02_6735,No,0
A01,6735,A01_6735,No,0
B12,6735,B12_6735,No,0
B11,6735,B11_6735,No,0
B10,6735,B10_6735,No,0
B09,6735,B09_6735,No,0
B08,6735,B08_6735,No,0
B07,6735,B07_6735,No,0
B06,6735,B06_6735,No,0
B05,6735,B05_6735,No,0
B04,6735,B04_6735,No,0
B03,6735,B03_6735,No,0
B02,6735,B02_6735,No,0
C12,6735,C12_6735,No,0
C11,6735,C11_6735,No,0
C10,6735,C10_6735,No,0
C09,6735,C09_6735,No,0
C08,6735,C08_6735,No,0
C07,6735,C07_6735,No,0
C06,6735,C06_6735,No,0
C05,6735,C05_6735,No,0
C04,6735,C04_6735,No,0
C03,6735,C03_6735,No,0
C02,6735,C02_6735,No,0
C01,6735,C01_6735,No,0
D12,6735,D12_6735,No,0
D11,6735,D11_6735,No,0
D10,6735,D10_6735,No,0
D09,6735,D09_6735,No,0
D08,6735,D08_6735,No,0
D07,6735,D07_6735,No,0
D06,6735,D06_6735,No,0
D05,6735,D05_6735,No,0
D04,6735,D04_6735,No,0
D03,6735,D03_6735,No,0
D02,6735,D02_6735,No,0
D01,6735,D01_6735,No,0
E12,6735,E12_6735,No,0
E11,6735,E11_6735,No,0
E10,6735,E10_6735,No,0
E09,6735,E09_6735,No,0
E08,6735,E08_6735,No,0
E07,6735,E07_6735,No,0
E06,6735,E06_6735,No,0
E05,6735,E05_6735,No,0
E04,6735,E04_6735,No,0
E03,6735,E03_6735,No,0
E02,6735,E02_6735,No,0
E01,6735,E01_6735,No,0
F12,6735,F12_6735,No,0
F11,6735,F11_6735,No,0
F10,6735,F10_6735,No,0
F09,6735,F09_6735,No,0
F08,6735,F08_6735,No,0
F07,6735,F07_6735,No,0
F06,6735,F06_6735,No,0
F05,6735,F05_6735,No,0
F04,6735,F04_6735,No,0
F03,6735,F03_6735,No,0
F02,6735,F02_6735,No,0
F01,6735,F01_6735,No,0
G12,6735,G12_6735,No,0
G11,6735,G11_6735,No,0
G10,6735,G10_6735,No,0
G09,6735,G09_6735,No,0
G08,6735,G08_6735,No,0
G07,6735,G07_6735,No,0
G06,6735,G06_6735,No,0
G05,6735,G05_6735,No,0
G04,6735,G04_6735,No,0
G03,6735,G03_6735,No,0
G02,6735,G02_6735,No,0
G01,6735,G01_6735,No,0
H12,6735,H12_6735,No,0
H11,6735,H11_6735,No,0
H10,6735,H10_6735,No,0
H09,6735,H09_6735,No,0
H08,6735,H08_6735,No,0
H07,6735,H07_6735,No,0
H06,6735,H06_6735,No,0
H05,6735,H05_6735,No,0
H04,6735,H04_6735,No,0
H03,6735,H03_6735,No,0
H02,6735,H02_6735,No,0
H01,6735,H01_6735,No,0
A09,6736,A09_6736,no,0
A07,6736,A07_6736,no,0
A06,6736,A06_6736,no,0
B10,6736,B10_6736,no,0
B09,6736,B09_6736,no,0
B07,6736,B07_6736,no,0
B02,6736,B02_6736,no,0
C05,6736,C05_6736,no,0
C03,6736,C03_6736,no,0
C01,6736,C01_6736,no,0
D12,6736,D12_6736,no,0
D09,6736,D09_6736,no,0
D07,6736,D07_6736,no,0
D04,6736,D04_6736,no,0
D02,6736,D02_6736,no,0
D01,6736,D01_6736,no,0
E12,6736,E12_6736,no,0
E11,6736,E11_6736,no,0
E08,6736,E08_6736,no,0
E07,6736,E07_6736,no,0
E06,6736,E06_6736,no,0
E05,6736,E05_6736,no,0
E01,6736,E01_6736,no,0
F07,6736,F07_6736,no,0
F06,6736,F06_6736,no,0
F05,6736,F05_6736,no,0
F01,6736,F01_6736,no,0
G12,6736,G12_6736,no,0
G11,6736,G11_6736,no,0
G08,6736,G08_6736,no,0
G07,6736,G07_6736,no,0
G06,6736,G06_6736,no,0
H11,6736,H11_6736,no,0
H09,6736,H09_6736,no,0
H08,6736,H08_6736,no,0
H07,6736,H07_6736,no,0
H06,6736,H06_6736,no,0
H04,6736,H04_6736,no,0
H02,6736,H02_6736,no,0
H01,6736,H01_6736,no,0
A12,6745,A12_6745,No,0
A11,6745,A11_6745,No,0
A10,6745,A10_6745,No,0
A09,6745,A09_6745,No,0
A07,6745,A07_6745,No,0
A06,6745,A06_6745,No,0
A05,6745,A05_6745,No,0
A04,6745,A04_6745,No,0
A03,6745,A03_6745,No,0
A02,6745,A02_6745,No,0
A01,6745,A01_6745,No,0
B12,6745,B12_6745,No,0
B11,6745,B11_6745,No,0
B10,6745,B10_6745,No,0
B09,6745,B09_6745,No,0
B08,6745,B08_6745,No,0
B07,6745,B07_6745,No,0
B06,6745,B06_6745,No,0
B05,6745,B05_6745,No,0
B04,6745,B04_6745,No,0
B03,6745,B03_6745,No,0
B02,6745,B02_6745,No,0
B01,6745,B01_6745,No,0
C12,6745,C12_6745,No,0
C11,6745,C11_6745,No,0
C10,6745,C10_6745,No,0
C09,6745,C09_6745,No,0
C08,6745,C08_6745,No,0
C07,6745,C07_6745,No,0
C06,6745,C06_6745,No,0
C05,6745,C05_6745,No,0
C04,6745,C04_6745,No,0
C03,6745,C03_6745,No,0
C02,6745,C02_6745,No,0
C01,6745,C01_6745,No,0
D12,6745,D12_6745,No,0
D11,6745,D11_6745,No,0
D10,6745,D10_6745,No,0
D09,6745,D09_6745,No,0
D08,6745,D08_6745,No,0
D07,6745,D07_6745,No,0
D06,6745,D06_6745,No,0
D05,6745,D05_6745,No,0
D03,6745,D03_6745,No,0
D02,6745,D02_6745,No,0
D01,6745,D01_6745,No,0
E12,6745,E12_6745,No,0
E11,6745,E11_6745,No,0
E10,6745,E10_6745,No,0
E09,6745,E09_6745,No,0
E08,6745,E08_6745,No,0
E07,6745,E07_6745,No,0
E06,6745,E06_6745,No,0
E05,6745,E05_6745,No,0
E04,6745,E04_6745,No,0
E03,6745,E03_6745,No,0
E02,6745,E02_6745,No,0
E01,6745,E01_6745,No,0
F12,6745,F12_6745,No,0
F11,6745,F11_6745,No,0
F10,6745,F10_6745,No,0
F09,6745,F09_6745,No,0
F08,6745,F08_6745,No,0
F07,6745,F07_6745,No,0
F06,6745,F06_6745,No,0
F05,6745,F05_6745,No,0
F04,6745,F04_6745,No,0
F03,6745,F03_6745,No,0
F02,6745,F02_6745,No,0
F01,6745,F01_6745,No,0
G12,6745,G12_6745,No,0
G11,6745,G11_6745,No,0
G10,6745,G10_6745,No,0
G09,6745,G09_6745,No,0
G07,6745,G07_6745,No,0
G06,6745,G06_6745,No,0
G05,6745,G05_6745,No,0
G04,6745,G04_6745,No,0
G03,6745,G03_6745,No,0
G02,6745,G02_6745,No,0
G01,6745,G01_6745,No,0
H12,6745,H12_6745,No,0
H11,6745,H11_6745,No,0
H10,6745,H10_6745,No,0
H09,6745,H09_6745,No,0
H08,6745,H08_6745,No,0
H07,6745,H07_6745,No,0
H06,6745,H06_6745,No,0
H05,6745,H05_6745,No,0
H04,6745,H04_6745,No,0
H03,6745,H03_6745,No,0
H02,6745,H02_6745,No,0
H01,6745,H01_6745,No,0
A02,6720,A02_6720,No,0
B08,6720,B08_6720,No,0
F02,6720,F02_6720,No,0
G11,6720,G11_6720,No,0
F04,6720,F04_6720,No,0
E01,6720,E01_6720,No,0
C08,6720,C08_6720,No,0
A05,6720,A05_6720,No,0
D04,6720,D04_6720,No,0
D03,6720,D03_6720,No,0
G05,6720,G05_6720,No,0
G01,6720,G01_6720,No,0
H11,6720,H11_6720,No,0
H09,6720,H09_6720,No,0
D01,6720,D01_6720,No,0
G04,6736,G04_6736,different staining from production (nucleus),0
E09,6736,E09_6736,different staining from production (cytosol),0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
