well,well_plate,Antibody,Gene,ENSG,U-2 OS (tpm),Gene desc,Results_final_update,Compartment
F05,F05_55235979,HPA021924,DGKI,ENSG00000157680,0.68,"diacylglycerol kinase, iota",negative,not found in excel lookup
G05,G05_55235979,HPA022001,MFSD11,ENSG00000092931,19.17,major facilitator superfamily domain containing 11,ccd,nucleus
H05,H05_55235979,HPA022031,KIF9,ENSG00000088727,11.48,kinesin family member 9,negative,not found in excel lookup
A06,A06_55235979,HPA022040,RUNX2,ENSG00000124813,10.03,runt-related transcription factor 2,notccd,Nucleus
B06,B06_55235979,HPA022120,NKTR,ENSG00000114857,12.04,natural killer cell triggering receptor,notccd,Cell
C06,C06_55235979,HPA022130,ECI2,ENSG00000198721,53.3,enoyl-CoA delta isomerase 2,negative,not found in excel lookup
D06,D06_55235979,HPA022133,TP53BP1,ENSG00000067369,23.6,tumor protein p53 binding protein 1,notccd,Nucleus
E06,E06_55235979,HPA022243,C9orf9,ENSG00000165698,4.02,chromosome 9 open reading frame 9,notccd,Cell
F06,F06_55235979,HPA022434,ACLY,ENSG00000131473,142.57,ATP citrate lyase,notccd,Cell
G06,G06_55235979,HPA022522,MRPS7,ENSG00000125445,101.99,mitochondrial ribosomal protein S7,notccd,Cell
H06,H06_55235979,HPA022787,BRPF3,ENSG00000096070,20.01,"bromodomain and PHD finger containing, 3",notccd,Cell
A07,A07_55235979,HPA022888,STXBP4,ENSG00000166263,5.59,syntaxin binding protein 4,notccd,Cytosol
B07,B07_55235979,HPA022918,PRR15L,ENSG00000167183,0.09,proline rich 15-like,notccd,Cytosol
C07,C07_55235979,HPA022978,KRT24,ENSG00000167916,0,"keratin 24, type I",notccd,Cell
D07,D07_55235979,HPA023030,SLFN11,ENSG00000172716,0.51,schlafen family member 11,notccd,Nucleus
E07,E07_55235979,HPA023105,MYO15B,ENSG00000266714,1.92,myosin XVB,notccd,Cytosol
F07,F07_55235979,HPA023138,NEFM,ENSG00000104722,0.12,"neurofilament, medium polypeptide",notccd,Cytosol
G07,G07_55235979,HPA023153,R3HCC1,ENSG00000104679,32.6,R3H domain and coiled-coil containing 1,ccd,cytosol
H07,H07_55235979,HPA023162,DECR1,ENSG00000104325,28.83,"2,4-dienoyl CoA reductase 1, mitochondrial",notccd,Cell
A08,A08_55235979,HPA023225,RPS6KA4,ENSG00000162302,53.88,"ribosomal protein S6 kinase, 90kDa, polypeptide 4",notccd,Nucleus
B08,B08_55235979,HPA023246,GLOD4,ENSG00000167699,59.56,glyoxalase domain containing 4,negative,not found in excel lookup
C08,C08_55235979,HPA023296,ALDH7A1,ENSG00000164904,103.55,"aldehyde dehydrogenase 7 family, member A1",ccd,Cell
D08,D08_55235979,HPA023361,TSTA3,ENSG00000104522,76.03,tissue specific transplantation antigen P35B,notccd,Nucleus
E08,E08_55235979,HPA023397,ZNF77,ENSG00000175691,2.85,zinc finger protein 77,notccd,Nucleus
F08,F08_55235979,HPA023453,MRPS23,ENSG00000181610,132.82,mitochondrial ribosomal protein S23,notccd,Cell
G08,G08_55235979,HPA023499,PIGW,ENSG00000277161,26.69,"phosphatidylinositol glycan anchor biosynthesis, class W",notccd,Cell
H08,H08_55235979,HPA023542,APBB2,ENSG00000163697,59.37,"amyloid beta (A4) precursor protein-binding, family B, member 2",notccd,Cell
A09,A09_55235979,HPA023605,UBE2O,ENSG00000175931,21.6,ubiquitin-conjugating enzyme E2O,notccd,Nucleus
B09,B09_55235979,HPA023689,PYGO2,ENSG00000163348,37.42,pygopus family PHD finger 2,notccd,Nucleus
C09,C09_55235979,HPA023691,CDCA5,ENSG00000146670,94.46,cell division cycle associated 5,ccd,nucleus
D09,D09_55235979,HPA023806,ZNF48,ENSG00000180035,8.24,zinc finger protein 48,negative,not found in excel lookup
E09,E09_55235979,HPA023887,FYN,ENSG00000010810,14.19,"FYN proto-oncogene, Src family tyrosine kinase",negative,not found in excel lookup
F09,F09_55235979,HPA023939,TRMT12,ENSG00000183665,24.79,tRNA methyltransferase 12 homolog (S. cerevisiae),notccd,Cell
G09,G09_55235979,HPA023948,ZNF687,ENSG00000143373,13.38,zinc finger protein 687,no variation,not found in excel lookup
H09,H09_55235979,HPA023967,PDE7B,ENSG00000171408,0.1,phosphodiesterase 7B,notccd,nucleus
A10,A10_55235979,HPA024010,RAB11FIP1,ENSG00000156675,25.29,RAB11 family interacting protein 1 (class I),ccd,Cell
B10,B10_55235979,HPA024011,DEPTOR,ENSG00000155792,0.96,DEP domain containing MTOR-interacting protein,notccd,Cell
C10,C10_55235979,HPA024031,PHGDH,ENSG00000092621,196.13,phosphoglycerate dehydrogenase,notccd,Cell
D10,D10_55235979,HPA024059,LMCD1,ENSG00000071282,42.92,LIM and cysteine-rich domains 1,notccd,Cell
E10,E10_55235979,HPA024099,GDA,ENSG00000119125,0.45,guanine deaminase,ccd,nucleus
F10,F10_55235979,HPA024122,IFRD1,ENSG00000006652,26.84,interferon-related developmental regulator 1,notccd,Cell
G10,G10_55235979,HPA024133,CCDC171,ENSG00000164989,1.35,coiled-coil domain containing 171,ccd,nucleus
H10,H10_55235979,HPA024150,AGBL3,ENSG00000146856,0.63,ATP/GTP binding protein-like 3,notccd,Cell
A11,A11_55235979,HPA024190,PGM1,ENSG00000079739,36.15,phosphoglucomutase 1,no variation,not found in excel lookup
B11,B11_55235979,HPA024205,KIF18B,ENSG00000186185,55.31,kinesin family member 18B,ccd,nucleus
C11,C11_55235979,HPA024305,GPI,ENSG00000105220,249.57,glucose-6-phosphate isomerase,notccd,Cell
D11,D11_55235979,HPA024318,ZSCAN18,ENSG00000121413,16.81,zinc finger and SCAN domain containing 18,notccd,Nucleus
E11,E11_55235979,HPA024338,NAPEPLD,ENSG00000161048,3.59,N-acyl phosphatidylethanolamine phospholipase D,negative,not found in excel lookup
F11,F11_55235979,HPA024406,C16orf58,ENSG00000140688,26,chromosome 16 open reading frame 58,no variation,not found in excel lookup
G11,G11_55235979,HPA024491,DENND3,ENSG00000105339,7.7,DENN/MADD domain containing 3,negative,not found in excel lookup
H11,H11_55235979,HPA024493,UNC13B,ENSG00000198722,7.77,unc-13 homolog B (C. elegans),notccd,Cell
A12,A12_55235979,HPA024517,SCRN1,ENSG00000136193,119.38,secernin 1,ccd,cytosol
B12,B12_55235979,HPA024638,LAMC2,ENSG00000058085,32.83,"laminin, gamma 2",notccd,Cytosol
C12,C12_55235979,HPA024642,RPF1,ENSG00000117133,60.91,ribosome production factor 1 homolog,notccd,nucleus
D12,D12_55235979,HPA025032,LETM2,ENSG00000165046,21.69,leucine zipper-EF-hand containing transmembrane protein 2,ccd,nucleus
E12,E12_55235979,HPA025717,CEP295NL,ENSG00000178404,2.06,CEP295 N-terminal like,negative,not found in excel lookup
F12,F12_55235979,HPA025735,ACOT7,ENSG00000097021,78.92,acyl-CoA thioesterase 7,no variation,not found in excel lookup
G12,G12_55235979,HPA025829,GPX7,ENSG00000116157,3.97,glutathione peroxidase 7,notccd,nucleus
A01,A01_55205980,HPA025951,MRPL37,ENSG00000116221,117.45,mitochondrial ribosomal protein L37,negative,not found in excel lookup
B01,B01_55205980,HPA026111,NES,ENSG00000132688,36.93,nestin,notccd,Cell
C01,C01_55205980,HPA026293,CDCA2,ENSG00000184661,35.36,cell division cycle associated 2,ccd,nucleus
D01,D01_55205980,HPA026303,RAB29,ENSG00000117280,15.94,"RAB29, member RAS oncogene family",ccd,nucleus
E01,E01_55205980,HPA026425,AKR1B1,ENSG00000085662,119.98,"aldo-keto reductase family 1, member B1 (aldose reductase)",notccd,Cell
F01,F01_55205980,HPA026446,MRTO4,ENSG00000053372,74.74,"MRT4 homolog, ribosome maturation factor",notccd,Nucleus
G01,G01_55205980,HPA026486,MPP2,ENSG00000108852,14.02,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2)",negative,not found in excel lookup
H01,H01_55205980,HPA026502,STK24,ENSG00000102572,48.61,serine/threonine kinase 24,notccd,Nucleus
A02,A02_55205980,HPA026518,C1orf54,ENSG00000118292,1.96,chromosome 1 open reading frame 54,notccd,Cell
B02,B02_55205980,HPA026534,ARHGAP29,ENSG00000137962,52.53,Rho GTPase activating protein 29,no variation,not found in excel lookup
C02,C02_55205980,HPA026542,ACADM,ENSG00000117054,34.21,"acyl-CoA dehydrogenase, C-4 to C-12 straight chain",notccd,Cell
D02,D02_55205980,HPA026776,GCNT2,ENSG00000111846,1.3,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)",notccd,Cell
E02,E02_55205980,HPA026815,BRCA2,ENSG00000139618,7.31,"breast cancer 2, early onset",ccd,nucleus
F02,F02_55205980,HPA026873,FXYD1,ENSG00000266964,0.64,FXYD domain containing ion transport regulator 1,notccd,nucleus
G02,G02_55205980,HPA026888,NCEH1,ENSG00000144959,11.14,neutral cholesterol ester hydrolase 1,notccd,Cell
H02,H02_55205980,HPA026948,MPHOSPH6,ENSG00000135698,58.61,M-phase phosphoprotein 6,notccd,nucleus
A03,A03_55205980,HPA026954,TMTC2,ENSG00000179104,1.91,transmembrane and tetratricopeptide repeat containing 2,notccd,Cell
B03,B03_55205980,HPA026978,MMD,ENSG00000108960,21.59,monocyte to macrophage differentiation-associated,negative,not found in excel lookup
C03,C03_55205980,HPA026991,PARP6,ENSG00000137817,25.96,"poly (ADP-ribose) polymerase family, member 6",negative,not found in excel lookup
D03,D03_55205980,HPA027011,SLC35C2,ENSG00000080189,36.75,"solute carrier family 35 (GDP-fucose transporter), member C2",negative,not found in excel lookup
E03,E03_55205980,HPA027019,TMPPE,ENSG00000188167,3.23,transmembrane protein with metallophosphoesterase domain,ccd,nucleus
F03,F03_55205980,HPA027035,ASTN2,ENSG00000148219,10.39,astrotactin 2,notccd,Cytosol
G03,G03_55205980,HPA027097,MTERF4,ENSG00000122085,23.65,mitochondrial transcription termination factor 4,ccd,Cell
H03,H03_55205980,HPA027115,KLHL38,ENSG00000175946,0.13,kelch-like family member 38,ccd,nucleus
A04,A04_55205980,HPA027128,PLEKHG1,ENSG00000120278,2.2,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1",ccd,Nucleus
B04,B04_55205980,HPA027169,CDCA7L,ENSG00000164649,69.69,cell division cycle associated 7-like,notccd,nucleus
C04,C04_55205980,HPA027176,ACTL8,ENSG00000117148,0.18,actin-like 8,notccd,Cytosol
D04,D04_55205980,HPA027209,RNF146,ENSG00000118518,13.88,ring finger protein 146,notccd,Cell
E04,E04_55205980,HPA027224,SIPA1L2,ENSG00000116991,0.09,signal-induced proliferation-associated 1 like 2,ccd,Cell
F04,F04_55205980,HPA027237,COL16A1,ENSG00000084636,56.35,"collagen, type XVI, alpha 1",negative,not found in excel lookup
G04,G04_55205980,HPA027327,KIAA1107,ENSG00000069712,0.6,KIAA1107,notccd,Cell
H04,H04_55205980,HPA027398,USH1C,ENSG00000006611,0.44,Usher syndrome 1C,notccd,Cytosol
A05,A05_55205980,HPA027555,POLE2,ENSG00000100479,38.36,"polymerase (DNA directed), epsilon 2, accessory subunit",notccd,Nucleus
B05,B05_55205980,HPA027771,TRERF1,ENSG00000124496,7.98,transcriptional regulating factor 1,notccd,Nucleus
C05,C05_55205980,HPA027802,CCND1,ENSG00000110092,114.37,cyclin D1,notccd,Nucleus
D05,D05_55205980,HPA027824,P4HA2,ENSG00000072682,69.46,"prolyl 4-hydroxylase, alpha polypeptide II",notccd,Cell
E05,E05_55205980,HPA027838,ANAPC11,ENSG00000141552,172.6,anaphase promoting complex subunit 11,notccd,Nucleus
F05,F05_55205980,HPA027973,ZCCHC11,ENSG00000134744,33.21,"zinc finger, CCHC domain containing 11",no variation,not found in excel lookup
G05,G05_55205980,HPA028017,GSK3B,ENSG00000082701,57.81,glycogen synthase kinase 3 beta,ccd,nucleus
H05,H05_55205980,HPA028062,CAMKK1,ENSG00000004660,10.81,"calcium/calmodulin-dependent protein kinase kinase 1, alpha",notccd,Cytosol
A06,A06_55205980,HPA028077,NECAP2,ENSG00000157191,27.84,NECAP endocytosis associated 2,notccd,Cell
B06,B06_55205980,HPA028120,CDCA8,ENSG00000134690,73.18,cell division cycle associated 8,ccd,nucleus
C06,C06_55205980,HPA028156,ZYG11B,ENSG00000162378,9,"zyg-11 family member B, cell cycle regulator",negative,not found in excel lookup
D06,D06_55205980,HPA028162,AP4B1,ENSG00000134262,15.58,"adaptor-related protein complex 4, beta 1 subunit",negative,not found in excel lookup
E06,E06_55205980,HPA028181,MAST1,ENSG00000105613,4.54,microtubule associated serine/threonine kinase 1,negative,not found in excel lookup
F06,F06_55205980,HPA028200,FDPS,ENSG00000160752,151.95,farnesyl diphosphate synthase,negative,not found in excel lookup
G06,G06_55205980,HPA028214,CPT2,ENSG00000157184,5.81,carnitine palmitoyltransferase 2,ccd,Cell
H06,H06_55205980,HPA028275,FABP1,ENSG00000163586,0.16,"fatty acid binding protein 1, liver",negative,not found in excel lookup
A07,A07_55205980,HPA028308,PARS2,ENSG00000162396,5.2,"prolyl-tRNA synthetase 2, mitochondrial (putative)",notccd,Cell
B07,B07_55205980,HPA028346,HORMAD1,ENSG00000143452,4.18,HORMA domain containing 1,ccd,nucleus
C07,C07_55205980,HPA028360,ETHE1,ENSG00000105755,46.55,ethylmalonic encephalopathy 1,notccd,Cell
D07,D07_55205980,HPA028407,PAH,ENSG00000171759,0.05,phenylalanine hydroxylase,notccd,Cell
E07,E07_55205980,HPA028425,CSK,ENSG00000103653,50.22,c-src tyrosine kinase,notccd,Cytosol
F07,F07_55205980,HPA028435,LMOD1,ENSG00000163431,0.88,leiomodin 1 (smooth muscle),notccd,cytosol
G07,G07_55205980,HPA028484,EXOSC10,ENSG00000171824,63.02,exosome component 10,notccd,Cell
H07,H07_55205980,HPA028496,C1orf74,ENSG00000162757,3.25,chromosome 1 open reading frame 74,negative,not found in excel lookup
A08,A08_55205980,HPA028507,ZNF678,ENSG00000181450,5.77,zinc finger protein 678,ccd,nucleus
B08,B08_55205980,HPA028522,DYRK1B,ENSG00000105204,2.12,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B,ccd,Nucleus
C08,C08_55205980,HPA028601,ADAMTS9,ENSG00000163638,0.43,"ADAM metallopeptidase with thrombospondin type 1 motif, 9",notccd,Cell
D08,D08_55205980,HPA028612,GCH1,ENSG00000131979,3.19,GTP cyclohydrolase 1,ccd,Nucleus
E08,E08_55205980,HPA028651,TADA1,ENSG00000152382,12.66,transcriptional adaptor 1,notccd,nucleus
F08,F08_55205980,HPA028705,DNAJC11,ENSG00000007923,26.8,"DnaJ (Hsp40) homolog, subfamily C, member 11",notccd,cytosol
G08,G08_55205980,HPA028729,MAD2L1BP,ENSG00000124688,31.18,MAD2L1 binding protein,ccd,nucleus
H08,H08_55205980,HPA028746,FAM117B,ENSG00000138439,2.65,"family with sequence similarity 117, member B",negative,not found in excel lookup
A09,A09_55205980,HPA028858,ZNF582,ENSG00000018869,7.66,zinc finger protein 582,notccd,Cytosol
B09,B09_55205980,HPA028872,UBE2E2,ENSG00000182247,30.26,ubiquitin-conjugating enzyme E2E 2,ccd,nucleus
C09,C09_55205980,HPA028901,AKAP10,ENSG00000108599,14.97,A kinase (PRKA) anchor protein 10,ccd,Cell
D09,D09_55205980,HPA028910,ROM1,ENSG00000149489,2.84,retinal outer segment membrane protein 1,notccd,Cell
E09,E09_55205980,HPA028946,VAX1,ENSG00000148704,0,ventral anterior homeobox 1,ccd,nucleus
F09,F09_55205980,HPA028961,AIFM2,ENSG00000042286,26.08,"apoptosis-inducing factor, mitochondrion-associated, 2",negative,not found in excel lookup
G09,G09_55205980,HPA029049,ZNF518A,ENSG00000177853,9,zinc finger protein 518A,ccd,nucleus
H09,H09_55205980,HPA029075,ALDH6A1,ENSG00000119711,9.92,"aldehyde dehydrogenase 6 family, member A1",notccd,Cell
A10,A10_55205980,HPA029096,GFOD1,ENSG00000145990,3.46,glucose-fructose oxidoreductase domain containing 1,notccd,Cell
B10,B10_55205980,HPA029291,ZNF557,ENSG00000130544,2.77,zinc finger protein 557,notccd,Cell
C10,C10_55205980,HPA029295,SIM2,ENSG00000159263,2.76,single-minded family bHLH transcription factor 2,notccd,Nucleus
D10,D10_55205980,HPA029342,ZNF426,ENSG00000130818,8.18,zinc finger protein 426,ccd,nucleus
E10,E10_55205980,HPA029347,LRRC8C,ENSG00000171488,7.66,"leucine rich repeat containing 8 family, member C",notccd,Cell
F10,F10_55205980,HPA029349,CCT4,ENSG00000115484,271.7,"chaperonin containing TCP1, subunit 4 (delta)",negative,not found in excel lookup
G10,G10_55205980,HPA029424,ATAD2,ENSG00000156802,70.97,"ATPase family, AAA domain containing 2",ccd,nucleus
H10,H10_55205980,HPA029426,CCT8,ENSG00000156261,569.28,"chaperonin containing TCP1, subunit 8 (theta)",notccd,Cytosol
A11,A11_55205980,HPA029457,GTSE1,ENSG00000075218,76.71,G-2 and S-phase expressed 1,ccd,Cell
B11,B11_55205980,HPA029501,PKM,ENSG00000067225,1723.53,"pyruvate kinase, muscle",notccd,Cytosol
C11,C11_55205980,HPA029518,TGM2,ENSG00000198959,57.29,transglutaminase 2,ccd,Cell
D11,D11_55205980,HPA029568,RANBP17,ENSG00000204764,1.08,RAN binding protein 17,notccd,Nucleus
E11,E11_55205980,HPA029675,DNPH1,ENSG00000112667,40.65,2'-deoxynucleoside 5'-phosphate N-hydrolase 1,notccd,Cytosol
F11,F11_55205980,HPA029703,APEH,ENSG00000164062,95.88,acylaminoacyl-peptide hydrolase,notccd,cytosol
G11,G11_55205980,HPA029708,TFCP2L1,ENSG00000115112,0.05,transcription factor CP2-like 1,ccd,nucleus
H11,H11_55205980,HPA029718,RAD23B,ENSG00000119318,132.54,"RAD23 homolog B, nucleotide excision repair protein",notccd,Cell
A12,A12_55205980,HPA029768,NDUFA1,ENSG00000125356,92.34,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa",notccd,Cytosol
B12,B12_55205980,HPA029786,ZBED2,ENSG00000177494,0.95,"zinc finger, BED-type containing 2",notccd,Cell
C12,C12_55205980,HPA029895,ERI3,ENSG00000117419,58.48,ERI1 exoribonuclease family member 3,ccd,nucleus
D12,D12_55205980,HPA029905,RRP36,ENSG00000124541,102.07,ribosomal RNA processing 36,ccd,nucleus
E12,E12_55205980,HPA029939,EIF3I,ENSG00000084623,270.08,"eukaryotic translation initiation factor 3, subunit I",negative,not found in excel lookup
F12,F12_55205980,HPA029959,NUFIP1,ENSG00000083635,7.11,nuclear fragile X mental retardation protein interacting protein 1,ccd,nucleus
G12,G12_55205980,HPA029966,NHSL1,ENSG00000135540,4.81,NHS-like 1,notccd,Nucleus
A01,A01_55245981,HPA030098,RNF187,ENSG00000168159,37.46,ring finger protein 187,ccd,nucleus
B01,B01_55245981,HPA030124,CAP1,ENSG00000131236,374.35,"CAP, adenylate cyclase-associated protein 1 (yeast)",no variation,not found in excel lookup
C01,C01_55245981,HPA030148,SMPDL3A,ENSG00000172594,3.55,"sphingomyelin phosphodiesterase, acid-like 3A",notccd,Cell
D01,D01_55245981,HPA030149,RFC3,ENSG00000133119,48.88,"replication factor C (activator 1) 3, 38kDa",notccd,Cell
E01,E01_55245981,HPA030190,ZNF25,ENSG00000175395,0.87,zinc finger protein 25,notccd,Cell
F01,F01_55245981,HPA030194,ZIC4,ENSG00000174963,0,Zic family member 4,no variation,not found in excel lookup
G01,G01_55245981,HPA030259,RTKN,ENSG00000114993,12.56,rhotekin,notccd,Cell
H01,H01_55245981,HPA030278,NRP1,ENSG00000099250,40.78,neuropilin 1,notccd,Cell
A02,A02_55245981,HPA030292,NCOA7,ENSG00000111912,11.59,nuclear receptor coactivator 7,notccd,nucleus
B02,B02_55245981,HPA030360,RHBDL1,ENSG00000103269,2.46,"rhomboid, veinlet-like 1 (Drosophila)",ccd,nucleus
C02,C02_55245981,HPA030443,PARD3,ENSG00000148498,66.69,par-3 family cell polarity regulator,negative,not found in excel lookup
D02,D02_55245981,HPA030473,TRMT11,ENSG00000066651,11.44,tRNA methyltransferase 11 homolog,ccd,Nucleus
E02,E02_55245981,HPA030502,ASF1A,ENSG00000111875,17.85,anti-silencing function 1A histone chaperone,notccd,Nucleus
F02,F02_55245981,HPA030522,PCNA,ENSG00000132646,367.35,proliferating cell nuclear antigen,notccd,Nucleus
G02,G02_55245981,HPA030594,MRPL28,ENSG00000086504,132.42,mitochondrial ribosomal protein L28,no variation,not found in excel lookup
H02,H02_55245981,HPA030676,MIPEP,ENSG00000027001,7.98,mitochondrial intermediate peptidase,negative,not found in excel lookup
A03,A03_55245981,HPA030769,COL5A1,ENSG00000130635,66.13,"collagen, type V, alpha 1",no variation,not found in excel lookup
B03,B03_55245981,HPA030782,MKL1,ENSG00000196588,34.57,megakaryoblastic leukemia (translocation) 1,notccd,Cell
C03,C03_55245981,HPA030818,YKT6,ENSG00000106636,117.7,YKT6 v-SNARE homolog (S. cerevisiae),notccd,Cell
D03,D03_55245981,HPA030824,TASP1,ENSG00000089123,4.29,"taspase, threonine aspartase, 1",notccd,Cell
E03,E03_55245981,HPA030833,MAPKBP1,ENSG00000137802,6.6,mitogen-activated protein kinase binding protein 1,notccd,Nucleus
F03,F03_55245981,HPA030840,ZNF774,ENSG00000196391,1.44,zinc finger protein 774,notccd,Cell
G03,G03_55245981,HPA030877,KRT13,ENSG00000171401,0.45,"keratin 13, type I",no variation,not found in excel lookup
H03,H03_55245981,HPA030901,NCAM2,ENSG00000154654,0.98,neural cell adhesion molecule 2,notccd,Cell
A04,A04_55245981,HPA031013,PMS1,ENSG00000064933,16.26,"PMS1 homolog 1, mismatch repair system component",notccd,Nucleus
B04,B04_55245981,HPA031061,GPRASP1,ENSG00000198932,1.12,G protein-coupled receptor associated sorting protein 1,no variation,not found in excel lookup
C04,C04_55245981,HPA031093,FKBP5,ENSG00000096060,18.02,FK506 binding protein 5,notccd,Nucleus
D04,D04_55245981,HPA031121,DHRS7,ENSG00000100612,41.83,dehydrogenase/reductase (SDR family) member 7,notccd,Cell
E04,E04_55245981,HPA031125,MCL1,ENSG00000143384,125.96,myeloid cell leukemia 1,notccd,Cell
F04,F04_55245981,HPA031196,RSPH4A,ENSG00000111834,0.31,radial spoke head 4 homolog A (Chlamydomonas),notccd,Nucleus
G04,G04_55245981,HPA031246,TTC27,ENSG00000018699,19.4,tetratricopeptide repeat domain 27,notccd,Cell
H04,H04_55245981,HPA031265,SEMA6A,ENSG00000092421,3.28,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A",no variation,not found in excel lookup
A05,A05_55245981,HPA031315,PGD,ENSG00000142657,168.37,phosphogluconate dehydrogenase,negative,not found in excel lookup
B05,B05_55245981,HPA031345,SLC2A1,ENSG00000117394,5.42,"solute carrier family 2 (facilitated glucose transporter), member 1",no variation,not found in excel lookup
C05,C05_55245981,HPA031347,TSPYL5,ENSG00000180543,27.31,TSPY-like 5,no variation,not found in excel lookup
D05,D05_55245981,HPA031455,HSF2,ENSG00000025156,17.74,heat shock transcription factor 2,notccd,Nucleus
E05,E05_55245981,HPA031463,HOXB9,ENSG00000170689,33.65,homeobox B9,notccd,Cell
F05,F05_55245981,HPA031469,HRNR,ENSG00000197915,0.51,hornerin,notccd,Cell
G05,G05_55245981,HPA031505,CLUH,ENSG00000132361,49.83,clustered mitochondria (cluA/CLU1) homolog,negative,not found in excel lookup
H05,H05_55245981,HPA031530,KIAA1429,ENSG00000164944,16.62,KIAA1429,notccd,Nucleus
A06,A06_55245981,HPA031531,CAPZB,ENSG00000077549,294.7,"capping protein (actin filament) muscle Z-line, beta",notccd,Cell
B06,B06_55245981,HPA031584,DCDC2,ENSG00000146038,0.87,doublecortin domain containing 2,no variation,not found in excel lookup
C06,C06_55245981,HPA031637,STRADA,ENSG00000266173,26.94,STE20-related kinase adaptor alpha,no variation,not found in excel lookup
D06,D06_55245981,HPA031673,RFNG,ENSG00000169733,19.36,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,notccd,Nucleus
E06,E06_55245981,HPA031707,CLNS1A,ENSG00000074201,177.17,"chloride channel, nucleotide-sensitive, 1A",notccd,Cell
F06,F06_55245981,HPA031753,WRNIP1,ENSG00000124535,41.13,Werner helicase interacting protein 1,notccd,Nucleus
G06,G06_55245981,HPA031763,MCOLN1,ENSG00000090674,7.19,mucolipin 1,notccd,Cell
H06,H06_55245981,HPA031817,ING4,ENSG00000111653,17,"inhibitor of growth family, member 4",ccd,nucleus
A07,A07_55245981,HPA031824,SDHAF4,ENSG00000154079,2.97,succinate dehydrogenase complex assembly factor 4,notccd,Cell
B07,B07_55245981,HPA031847,ATP6V1B1,ENSG00000116039,0.24,"ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1",notccd,Nucleus
C07,C07_55245981,HPA031862,NLN,ENSG00000123213,6.26,neurolysin (metallopeptidase M3 family),notccd,Cell
D07,D07_55245981,HPA031970,TSPYL1,ENSG00000189241,30.71,TSPY-like 1,notccd,Nucleus
E07,E07_55245981,HPA032023,DTL,ENSG00000143476,28.28,denticleless E3 ubiquitin protein ligase homolog (Drosophila),ccd,nucleus
F07,F07_55245981,HPA032053,ZC3H12A,ENSG00000163874,7.69,zinc finger CCCH-type containing 12A,notccd,Nucleus
G07,G07_55245981,HPA032057,PUSL1,ENSG00000169972,12.78,pseudouridylate synthase-like 1,no variation,not found in excel lookup
H07,H07_55245981,HPA032080,SPATA21,ENSG00000187144,0.09,spermatogenesis associated 21,notccd,Cell
A08,A08_55245981,HPA032097,CLCN6,ENSG00000011021,9.17,"chloride channel, voltage-sensitive 6",notccd,Cell
B08,B08_55245981,HPA032128,TTLL5,ENSG00000119685,19.26,tubulin tyrosine ligase-like family member 5,no variation,not found in excel lookup
C08,C08_55245981,HPA032140,SLC11A2,ENSG00000110911,18.58,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2",notccd,Cell
D08,D08_55245981,HPA034521,PRC1,ENSG00000198901,165.52,protein regulator of cytokinesis 1,ccd,Cell
E08,E08_55245981,HPA034543,TGIF2LX,ENSG00000153779,12.8,"TGFB-induced factor homeobox 2-like, X-linked",notccd,Nucleus
F08,F08_55245981,HPA034569,UBE2C,ENSG00000175063,283.72,ubiquitin-conjugating enzyme E2C,ccd,Cell
G08,G08_55245981,HPA034600,RPL4,ENSG00000174444,1754.91,ribosomal protein L4,negative,not found in excel lookup
H08,H08_55245981,HPA034871,MYH15,ENSG00000144821,0.57,"myosin, heavy chain 15",notccd,Cell
A09,A09_55245981,HPA034873,UBA3,ENSG00000144744,48.69,ubiquitin-like modifier activating enzyme 3,no variation,not found in excel lookup
B09,B09_55245981,HPA034945,RAB24,ENSG00000169228,16.8,"RAB24, member RAS oncogene family",notccd,Cell
C09,C09_55245981,HPA035011,PCNP,ENSG00000081154,111.99,PEST proteolytic signal containing nuclear protein,notccd,nucleus
D09,D09_55245981,HPA035015,STAG1,ENSG00000118007,30.58,stromal antigen 1,ccd,nucleus
E09,E09_55245981,HPA035050,HS1BP3,ENSG00000118960,19.99,HCLS1 binding protein 3,notccd,Cell
F09,F09_55245981,HPA035086,ZNF263,ENSG00000006194,31.88,zinc finger protein 263,ccd,cytosol
G09,G09_55245981,HPA035166,METTL6,ENSG00000206562,16.44,methyltransferase like 6,notccd,Cell
H09,H09_55245981,HPA035196,MCEE,ENSG00000124370,8.68,methylmalonyl CoA epimerase,ccd,Cell
A10,A10_55245981,HPA035217,PEAR1,ENSG00000187800,6.77,platelet endothelial aggregation receptor 1,no variation,not found in excel lookup
B10,B10_55245981,HPA035222,IKZF1,ENSG00000185811,0.87,IKAROS family zinc finger 1 (Ikaros),notccd,Cell
C10,C10_55245981,HPA035223,MAML2,ENSG00000184384,3.47,mastermind-like transcriptional coactivator 2,notccd,Nucleus
