Antibody RRID	Reliability (IF)
HPA041164: , HPA043038: 	Enhanced
HPA029565: AB_10602032	Enhanced
HPA025754: AB_1845638, HPA025755: AB_1845639, HPA027297: 	Approved
HPA035642: AB_10611959	Supported
CAB032500: AB_2096241, CAB037291: AB_259277, HPA031976: AB_10602489	Approved
HPA028459: AB_10602490	Approved
CAB018957: AB_2039838, HPA013774: AB_1847994	Uncertain
CAB017842: , HPA027546: 	Supported
HPA031820: AB_10600753	Approved
CAB005861: AB_2262056, CAB018782: AB_2277714, HPA038158: AB_10966710, HPA038159: AB_10962356	Supported
CAB012211: AB_2262066, HPA060089: AB_2684201, HPA061140: AB_2684437	Supported
HPA051759: , HPA053862: , HPA056990: 	Supported
CAB034019: AB_1562672, HPA051759: , HPA053862: , HPA056990: 	Supported
HPA040417: , HPA042543: 	Approved
HPA050138: 	Approved
HPA043020: , HPA045492: 	Approved
HPA062215: 	Uncertain
HPA043346: AB_10794181, HPA062215: 	Uncertain
CAB012477: AB_732078, HPA035029: 	Approved
HPA045101: AB_10963077, HPA051002: 	Supported
HPA027901: AB_10611960, HPA057866: 	Supported
HPA040688: AB_10961632, HPA055316: AB_2732593	Approved
CAB007795: AB_598149, HPA040534: AB_2677024, HPA057351: AB_2683417	Enhanced
CAB007818: AB_598150, HPA056061: 	Approved
HPA041610: 	Uncertain
HPA035795: AB_10696512	Approved
HPA053668: 	Approved
HPA023527: AB_2231065, HPA069955: 	Approved
HPA051209: 	Approved
HPA037694: AB_10672605, HPA057532: 	Approved
CAB002501: AB_564092, HPA021633: AB_1845594, HPA023249: AB_1845595, HPA026561: AB_1845596	Enhanced
HPA011224: AB_1852314, HPA011938: AB_1852317	Approved
HPA031206: AB_10599710, HPA031207: AB_10599946	Approved
HPA003098: AB_1079087	Uncertain
HPA029611: AB_10599972, HPA029612: AB_10600533, HPA029613: AB_10601004	Approved
CAB016368: AB_2277777, HPA049806: , HPA070841: , HPA071588: 	Supported
HPA078067: 	Approved
HPA034492: AB_10671227, HPA057359: 	Approved
HPA049331: , HPA056959: 	Supported
HPA048961: 	Approved
HPA039654: , HPA047110: , HPA052345: 	Approved
HPA067567: 	Approved
CAB013282: AB_2533353, HPA054047: 	Approved
CAB031489: AB_631414, HPA067188: 	Supported
CAB009368: AB_2095700, HPA008999: AB_1078721	Supported
HPA022859: AB_1848029, HPA023092: AB_2293240, HPA023402: AB_1848031	Supported
HPA038089: AB_10672618, HPA071831: 	Supported
HPA001581: , HPA001790: 	Uncertain
HPA022021: AB_1848032	Approved
HPA061173: 	Approved
CAB000035: , CAB068186: , CAB073534: , HPA001200: AB_1078723, HPA018530: AB_1848044	Enhanced
HPA056649: 	Supported
HPA064895: 	Supported
CAB019427: AB_2097038, HPA029937: , HPA029938: 	Enhanced
HPA031165: 	Supported
CAB009373: AB_2097202, HPA006206: AB_10602491	Uncertain
HPA035468: AB_10671513, HPA035469: AB_10601365	Enhanced
HPA049890: , HPA049986: , HPA066751: , HPA067747: 	Supported
HPA047394: , HPA049890: , HPA049986: , HPA066751: 	Supported
HPA049890: , HPA049986: , HPA066751: 	Approved
HPA049890: , HPA049986: , HPA052729: , HPA066751: 	Approved
HPA050923: , HPA060734: 	Supported
HPA060022: 	Supported
HPA050550: , HPA060259: 	Supported
HPA047165: AB_2679965, HPA051029: AB_2681317	Supported
HPA051122: , HPA051123: 	Supported
HPA045477: AB_10959785	Supported
HPA059367: 	Supported
HPA054991: , HPA058735: 	Supported
HPA002561: AB_1078724	Approved
HPA002561: AB_1078724	Approved
HPA036256: AB_10611961	Approved
CAB022082: , HPA016496: AB_1848057, HPA061675: 	Supported
CAB003845: AB_562332, HPA019795: AB_1848060, HPA063893: 	Enhanced
HPA011811: 	Approved
CAB034258: AB_2095995, HPA049509: 	Supported
CAB037105: AB_1840834, HPA005841: AB_1078725, HPA048028: 	Approved
HPA024213: AB_1848067, HPA024218: AB_1848068, HPA024219: AB_1848069	Supported
CAB032234: AB_668909, HPA039993: 	Approved
CAB015412: AB_831253, HPA064370: , HPA069303: 	Enhanced
HPA028220: AB_10602022	Approved
CAB011663: AB_2096478, HPA064885: 	Enhanced
CAB034415: AB_2095998, HPA041262: , HPA041332: 	Supported
HPA038315: AB_10672588, HPA038316: AB_10673168	Supported
CAB017562: AB_2246341, HPA048983: 	Approved
CAB034045: AB_1122487, HPA047097: , HPA049495: , HPA050112: 	Supported
HPA047097: , HPA049495: , HPA050112: 	Approved
HPA045882: , HPA063330: , HPA066216: 	Supported
HPA023973: AB_1848083	Supported
HPA041997: AB_10804123	Enhanced
HPA023117: AB_1848076, HPA023553: AB_1848077	Approved
HPA029939: AB_10611109, HPA029940: AB_10600878	Approved
HPA050977: 	Enhanced
HPA045446: AB_10962716, HPA054590: AB_2682534	Supported
HPA003028: AB_1078726	Approved
HPA031063: AB_10602128	Supported
CAB011689: AB_732122, HPA068286: 	Approved
CAB011690: AB_732123, HPA068286: 	Approved
HPA021878: AB_1848090	Supported
HPA039072: , HPA046164: 	Enhanced
CAB004077: AB_823488, CAB016316: AB_627502, HPA051311: 	Enhanced
HPA019253: AB_1848092, HPA077074: 	Enhanced
HPA058649: , HPA076465: 	Approved
CAB005032: AB_562030, CAB005039: AB_562029, HPA023501: AB_1848095	Supported
CAB019415: AB_10699019, HPA037410: , HPA061665: 	Approved
HPA001619: AB_1078727, HPA002078: AB_1078728	Enhanced
CAB014774: , HPA028487: AB_10602219, HPA043866: 	Enhanced
CAB005163: AB_638994, HPA006773: AB_1848099, HPA016965: AB_1848100	Enhanced
HPA025031: AB_1848102, HPA025039: AB_1848103, HPA025041: AB_1848104	Approved
HPA030542: AB_10601368	Approved
CAB004226: AB_627507, HPA000867: AB_1078731	Enhanced
CAB005042: AB_562281, HPA061298: 	Supported
HPA029090: AB_10671359	Supported
HPA034648: AB_10601902, HPA040095: 	Approved
HPA040873: 	Supported
HPA031231: AB_10669881, HPA031232: AB_10603222, HPA031233: AB_10670026, HPA031234: 	Supported
HPA040867: AB_10697716, HPA066483: 	Supported
HPA019535: AB_1848106	Enhanced
CAB005256: AB_2096342, HPA046298: 	Supported
CAB022222: , HPA063001: 	Approved
CAB004442: AB_627765, HPA043047: 	Approved
CAB005172: AB_631428, HPA001755: AB_1078732	Supported
HPA006057: AB_1078733, HPA071166: AB_2686351	Supported
HPA003316: AB_1078757, HPA003479: AB_1078756	Enhanced
HPA058595: , HPA060277: 	Supported
HPA062706: 	Approved
HPA066382: 	Approved
HPA000781: AB_1079280	Approved
CAB003808: AB_562282, HPA036084: , HPA064381: 	Enhanced
HPA001600: AB_1078752	Supported
HPA028863: AB_10602492	Supported
HPA013569: 	Supported
HPA028938: AB_10795352	Supported
HPA018811: AB_1848126	Supported
HPA021484: AB_1848129	Approved
HPA038435: AB_10795575, HPA066479: 	Uncertain
HPA047600: 	Approved
HPA012126: AB_1848130	Approved
HPA003111: AB_1078329	Enhanced
CAB010750: AB_476930, HPA018111: AB_1848109, HPA056941: 	Approved
HPA005910: AB_1080227	Approved
HPA078113: 	Approved
HPA045606: AB_10965133	Approved
CAB033426: AB_2099896, HPA056557: 	Approved
HPA036236: AB_10601550	Approved
CAB017042: , HPA047752: , HPA054197: 	Enhanced
CAB021340: , HPA049677: , HPA050686: 	Supported
CAB020835: , HPA002996: AB_1857552	Supported
HPA025297: , HPA025812: AB_10601369	Supported
HPA038572: , HPA038573: 	Supported
HPA023279: AB_1847613, HPA052411: 	Supported
HPA046358: AB_10961011, HPA064545: 	Approved
HPA042372: AB_10795609	Approved
HPA026868: , HPA053440: 	Supported
HPA062681: 	Approved
HPA010029: AB_1078335, HPA047572: 	Approved
HPA049476: 	Supported
HPA054715: , HPA078254: 	Approved
CAB001545: AB_2100047, CAB002029: AB_442088, CAB058694: , CAB062552: , HPA000609: AB_1078736	Enhanced
CAB016127: AB_2278026, HPA052188: 	Approved
HPA039304: , HPA039666: AB_10672891	Supported
HPA012757: AB_1848145	Approved
HPA036687: AB_2675251, HPA036688: AB_10671968, HPA065337: AB_2685474	Supported
HPA062808: , HPA068759: 	Approved
HPA051931: , HPA056250: 	Approved
HPA014711: AB_1848147	Approved
HPA062030: 	Approved
CAB012234: AB_449325, HPA050777: 	Enhanced
HPA006230: , HPA006421: AB_1078739	Supported
HPA003497: , HPA065294: 	Approved
CAB014884: , HPA073141: 	Supported
HPA045646: , HPA069809: 	Supported
HPA028448: AB_10600766, HPA028696: AB_10611249	Enhanced
HPA078061: 	Uncertain
HPA008932: AB_2262252, HPA010517: AB_1852351	Approved
CAB000096: AB_563482, CAB072873: , HPA011862: AB_1846217, HPA067440: 	Supported
HPA021551: AB_1848156	Approved
HPA041163: AB_10794986, HPA041478: AB_10794668	Supported
CAB018614: AB_2099061, CAB069394: , HPA068284: , HPA068721: 	Enhanced
CAB000063: AB_2099322, CAB073539: , CAB079023: , HPA068284: , HPA068721: 	Supported
HPA000793: AB_1078742, HPA068284: , HPA068721: 	Supported
HPA037937: AB_10697089, HPA037938: 	Approved
CAB004985: AB_426046, HPA044607: AB_2679019	Approved
HPA038355: AB_10673171	Supported
HPA000514: AB_1078558, HPA003027: 	Supported
HPA023700: AB_1848170, HPA053652: 	Approved
HPA016902: AB_1848172	Approved
HPA042740: AB_10793984	Approved
HPA051294: 	Approved
CAB002494: AB_563557, HPA014067: AB_1848178	Uncertain
HPA017655: AB_1848181	Supported
HPA002927: AB_1078744	Approved
HPA015491: , HPA069555: 	Supported
HPA014351: AB_1848183	Approved
HPA021509: AB_1848185	Approved
HPA024648: AB_2100208	Approved
HPA019460: AB_1844628	Approved
HPA028896: AB_10601370, HPA077118: 	Uncertain
CAB000146: AB_2533138, HPA003128: AB_1078745, HPA004112: AB_1078746	Enhanced
HPA016704: AB_1854888, HPA049013: 	Supported
HPA031200: , HPA069697: 	Supported
HPA028076: , HPA028096: , HPA028412: , HPA028414: AB_10601366	Supported
HPA054104: AB_2682380, HPA056817: AB_2683244	Supported
HPA005730: AB_1848195, HPA006642: AB_1848194	Enhanced
HPA028605: AB_10611963	Enhanced
HPA036580: AB_10669908	Approved
HPA042862: AB_10794534	Approved
HPA037563: AB_2675546, HPA037564: AB_2675547	Enhanced
HPA040261: AB_10673441	Uncertain
HPA005811: 	Supported
HPA036759: AB_10672365	Approved
CAB003809: AB_562285, CAB030012: AB_756075, CAB055098: AB_2335685, HPA026761: AB_1848198, HPA067463: 	Supported
HPA031689: AB_10609997	Approved
HPA014420: AB_10601551	Approved
CAB010464: AB_631436	Supported
CAB010462: AB_2099218, HPA069390: 	Supported
HPA007397: AB_2667821, HPA058047: 	Enhanced
HPA067740: 	Approved
CAB013647: , HPA071200: 	Supported
HPA035784: 	Approved
HPA023094: AB_1848214, HPA023660: AB_1848215	Enhanced
HPA012842: AB_10601648	Approved
HPA035067: AB_10601465	Approved
HPA053643: , HPA055468: 	Enhanced
CAB009729: AB_2277865, HPA061136: 	Supported
HPA049809: , HPA053360: 	Supported
HPA055546: , HPA063224: 	Supported
HPA055190: , HPA056555: 	Supported
HPA077654: 	Supported
HPA066808: , HPA067357: , HPA069333: 	Enhanced
HPA026490: AB_1855979, HPA030052: AB_10601466	Enhanced
CAB010164: AB_631445, HPA008451: AB_1848221, HPA061431: 	Enhanced
HPA019237: AB_1848223, HPA055309: 	Approved
HPA003897: AB_1848224	Approved
HPA041851: , HPA043545: 	Supported
HPA041143: AB_10794985	Supported
HPA030998: 	Approved
HPA021425: AB_1848228, HPA024423: AB_1848229	Enhanced
CAB025095: , HPA042317: 	Approved
CAB025618: , HPA034498: , HPA064360: 	Approved
CAB000043: AB_2335701, CAB020416: AB_442047, CAB062555: , HPA001060: , HPA001338: , HPA001383: AB_1078500	Supported
CAB025331: , HPA045396: 	Approved
HPA048606: , HPA059863: 	Supported
HPA019513: AB_1856012, HPA019523: AB_1856013, HPA024130: AB_1856014	Supported
CAB004390: AB_2278023, CAB072859: , CAB072860: , HPA029773: AB_10602129, HPA050182: 	Enhanced
CAB005375: AB_2100152, HPA038057: , HPA069266: 	Supported
CAB037153: AB_796181, HPA046077: 	Enhanced
CAB000156: , HPA045828: 	Supported
HPA045845: , HPA050126: , HPA050374: 	Enhanced
HPA071297: 	Approved
HPA050492: 	Supported
HPA021260: AB_1859544, HPA022422: 	Supported
HPA029328: 	Approved
HPA054373: 	Approved
HPA058532: , HPA067952: 	Enhanced
CAB018377: AB_675518, HPA046598: 	Approved
HPA043172: AB_10793942, HPA063568: 	Approved
HPA018666: AB_1848241, HPA018900: AB_1848242	Enhanced
HPA049695: 	Supported
HPA015242: AB_1848238, HPA015968: AB_1848239	Supported
HPA002567: AB_1078749	Approved
CAB033838: AB_2098575, HPA055548: , HPA056074: 	Approved
HPA035384: AB_10602316, HPA035385: 	Supported
HPA027147: AB_1855725, HPA029895: 	Approved
HPA003725: AB_1853023	Approved
HPA061010: 	Approved
HPA042632: , HPA048484: 	Approved
HPA025070: AB_1845778, HPA025293: AB_1845779, HPA027233: AB_1845780	Approved
HPA011252: AB_1853965	Supported
CAB014894: , HPA002025: AB_1080077	Supported
HPA042573: AB_10794282, HPA054672: 	Approved
HPA041741: AB_10804116	Approved
HPA038295: AB_10805353, HPA038296: AB_10796217	Approved
HPA039363: AB_10673422, HPA039456: AB_10672963	Uncertain
HPA027206: AB_10600908, HPA076543: 	Enhanced
HPA017209: , HPA046508: 	Approved
HPA011423: , HPA024053: 	Approved
HPA051043: , HPA056293: 	Approved
HPA027243: , HPA053679: 	Supported
HPA039700: AB_10697553	Approved
HPA047083: , HPA050396: 	Approved
CAB012185: AB_304056, HPA073188: 	Supported
HPA028674: AB_10601316, HPA060220: 	Approved
CAB000037: AB_563706, CAB055099: AB_2101946, CAB072858: , HPA000449: AB_1078753, HPA000450: AB_1078754	Approved
HPA023719: AB_1856124, HPA023720: AB_1856125, HPA067104: 	Enhanced
HPA040751: , HPA048597: , HPA048618: 	Enhanced
HPA053785: 	Supported
HPA044678: AB_10963215	Approved
HPA001221: AB_1078645, HPA001222: AB_1078647	Approved
HPA051992: 	Supported
HPA016858: AB_1848404, HPA076926: 	Supported
HPA002132: AB_1078807	Uncertain
HPA035048: AB_10670300, HPA035049: AB_2674430	Approved
HPA018990: AB_1848277, HPA018993: AB_1848275, HPA018996: AB_1848276, HPA024089: AB_1848278	Enhanced
HPA018910: AB_1848280, HPA018921: AB_1848281, HPA018923: AB_1848282	Enhanced
HPA028360: AB_10599297, HPA029028: AB_10602092, HPA029029: AB_10601998	Enhanced
HPA010712: , HPA029407: 	Supported
HPA044546: AB_10962867, HPA072938: 	Approved
CAB002575: AB_563721, HPA063230: 	Enhanced
HPA003176: 	Enhanced
HPA068389: , HPA077249: 	Approved
HPA004794: AB_1078761	Supported
HPA005768: AB_1848294	Supported
CAB009590: AB_2101008, HPA063065: 	Supported
HPA000264: AB_1078763	Approved
HPA029033: AB_10601375, HPA049689: 	Enhanced
HPA008055: AB_1080308	Supported
HPA041928: , HPA043537: 	Approved
HPA008703: AB_1078765, HPA016046: AB_1848299	Approved
HPA040910: , HPA048122: 	Approved
HPA045033: , HPA057051: 	Approved
HPA043099: AB_10796685, HPA043563: 	Approved
CAB033987: AB_2101264, HPA018849: AB_1848310, HPA019536: AB_2670180	Approved
CAB002220: AB_563701, HPA053969: 	Supported
HPA045728: AB_10960394	Approved
HPA055132: 	Approved
CAB004230: AB_675526, HPA051771: AB_2681602, HPA062953: AB_2684910	Enhanced
HPA002906: AB_1078767, HPA005848: AB_1078768	Approved
HPA047395: AB_10962864	Approved
HPA053079: , HPA069738: 	Enhanced
HPA028429: AB_2092105	Supported
HPA037706: AB_10670525, HPA044873: 	Approved
HPA032093: AB_10611964	Supported
HPA037880: 	Approved
HPA029574: AB_10602495	Approved
HPA041595: AB_10794521, HPA061110: 	Approved
HPA031443: AB_10602496, HPA031444: 	Approved
HPA036285: AB_10673617, HPA059111: 	Supported
HPA034546: , HPA063991: 	Approved
HPA022840: AB_1848316, HPA022842: AB_1848317	Approved
HPA027438: AB_1848318	Supported
HPA012531: , HPA071050: 	Supported
HPA038370: AB_10672515	Approved
CAB037141: AB_532315, HPA028470: AB_10599180, HPA028484: AB_10611250	Supported
HPA021756: , HPA021790: AB_1848320	Supported
HPA020485: AB_10960685	Supported
HPA024792: AB_1848325	Supported
HPA053150: , HPA055677: 	Enhanced
HPA036182: AB_10673346, HPA057980: 	Supported
CAB034240: AB_2101977, HPA039702: AB_2676634, HPA043942: , HPA075230: 	Supported
CAB070171: AB_11026964, HPA041838: AB_10794492, HPA048257: 	Enhanced
HPA078409: 	Supported
CAB020716: , HPA068921: 	Approved
HPA028917: 	Supported
HPA027024: AB_1848334, HPA059291: 	Supported
HPA052432: , HPA062889: 	Enhanced
HPA004805: AB_10669750, HPA038771: AB_10671865, HPA038772: AB_10673119	Approved
HPA005478: AB_1848340, HPA077684: 	Supported
CAB009589: 	Supported
CAB004035: AB_2100309, CAB047324: , CAB075739: , HPA021616: AB_1848342	Enhanced
HPA039808: 	Approved
CAB004671: AB_425964, HPA043616: , HPA061700: 	Supported
CAB012989: AB_2533199, HPA014091: 	Approved
HPA031401: , HPA042340: 	Enhanced
CAB009438: AB_668005, HPA049292: , HPA069132: 	Approved
HPA002036: AB_1078787	Approved
HPA004826: AB_10602805	Approved
HPA056614: , HPA077840: 	Uncertain
HPA007425: AB_1078820	Approved
HPA023954: AB_1845601, HPA024626: AB_1845602, HPA026532: AB_1845603	Supported
HPA038829: AB_10673476	Supported
HPA041168: AB_10960496	Supported
CAB002305: AB_563728, HPA028275: AB_10600909	Approved
CAB047325: , CAB047326: , HPA034607: AB_10601317	Approved
CAB017830: , HPA055754: 	Uncertain
CAB017831: , CAB040577: , HPA051895: 	Supported
CAB025488: , CAB058697: , HPA028825: AB_10602130	Approved
CAB010209: AB_2100622, HPA001464: AB_1848348	Supported
HPA045224: AB_10967570	Approved
CAB072814: , HPA018253: AB_1848351	Enhanced
HPA065968: , HPA071246: , HPA073828: 	Enhanced
HPA041370: AB_2677438, HPA044093: AB_2678806	Approved
CAB025530: , HPA043226: AB_2678370, HPA043534: AB_2678535	Enhanced
HPA042440: , HPA052209: 	Approved
HPA018790: AB_1852822, HPA048800: AB_2680526	Approved
HPA036030: AB_10670675	Approved
HPA028451: AB_10602497	Approved
HPA041923: AB_10796467, HPA041948: AB_10797270	Supported
HPA021459: AB_1848361	Approved
HPA046638: 	Approved
HPA055888: 	Supported
HPA039661: AB_10794751, HPA058814: , HPA073195: 	Supported
CAB034110: AB_1562838, HPA069240: 	Supported
HPA008318: AB_1853892, HPA011781: AB_1853891	Supported
HPA039529: AB_10795149, HPA040176: AB_10793958	Approved
HPA038637: AB_10672522	Approved
HPA067948: , HPA069104: , HPA069701: 	Enhanced
HPA035869: AB_10669534, HPA035870: AB_10673222	Approved
HPA022531: AB_2101087	Approved
HPA003229: AB_2246696, HPA028746: 	Approved
HPA003902: AB_1848368	Approved
HPA019734: AB_1848369, HPA055800: 	Enhanced
HPA037518: AB_10671626, HPA037519: AB_10696935	Approved
HPA047677: 	Approved
HPA056646: 	Approved
HPA000266: AB_1078801	Approved
HPA059961: 	Uncertain
HPA048182: 	Approved
HPA070240: 	Approved
HPA042873: AB_2678207	Supported
HPA036166: AB_10696651, HPA036167: , HPA067307: 	Supported
HPA028172: AB_10599602, HPA028231: AB_10601886, HPA028657: AB_10601680	Supported
HPA021284: AB_1848373, HPA021417: AB_1848374, HPA023261: AB_1848375, HPA024312: AB_1848376	Enhanced
HPA043277: AB_10794391	Approved
HPA042800: AB_10797023	Approved
HPA021371: AB_1852341, HPA029992: 	Enhanced
HPA031046: 	Approved
HPA066175: , HPA069513: 	Uncertain
HPA066175: , HPA069513: 	Enhanced
HPA031743: AB_10600767, HPA031744: AB_10601101	Approved
HPA023911: AB_1845791, HPA023950: AB_1845792, HPA024815: AB_10601376	Approved
HPA030103: AB_10600194, HPA030104: AB_10600534	Approved
HPA038108: , HPA038109: AB_10672619	Approved
HPA036525: AB_10696655, HPA041819: , HPA071936: 	Approved
HPA037888: AB_10962981	Approved
HPA044019: , HPA055004: 	Approved
HPA039189: AB_10805355, HPA039859: 	Approved
HPA043805: AB_10794287	Approved
HPA039453: AB_10795290, HPA058768: 	Approved
HPA046348: AB_10966145	Approved
HPA055994: , HPA063987: 	Approved
HPA043624: AB_10797145	Approved
HPA025040: AB_1856049	Approved
HPA035856: AB_10611965, HPA058113: AB_2683609	Enhanced
HPA067336: 	Approved
HPA023915: AB_1845768, HPA030426: AB_10601318	Approved
HPA029398: AB_10602807, HPA062074: 	Approved
HPA037580: AB_10672906	Approved
HPA041574: AB_10794382	Supported
HPA051345: 	Approved
HPA010639: AB_1852447, HPA013434: AB_2262499	Approved
HPA012299: AB_1845724, HPA045505: 	Supported
HPA046262: AB_10963070	Approved
HPA074513: 	Approved
HPA019539: AB_2293743	Approved
HPA015306: 	Approved
HPA053222: , HPA055440: 	Approved
HPA042516: AB_10806241, HPA062110: 	Uncertain
HPA021224: AB_1851352	Approved
HPA066861: 	Approved
HPA050100: 	Approved
HPA034571: AB_10602498, HPA034572: , HPA041955: AB_2677768	Supported
HPA020470: AB_1853890, HPA029883: AB_10601903	Enhanced
HPA022794: AB_1848384, HPA043131: AB_10796686	Approved
HPA009410: AB_1852332, HPA010637: AB_1852333	Supported
HPA006659: AB_1078339, HPA050674: 	Supported
HPA054382: AB_2682469, HPA059652: 	Supported
HPA043116: AB_10795767	Approved
HPA035847: , HPA035848: AB_10601320	Enhanced
HPA047726: AB_10960554	Supported
HPA007227: AB_1847689	Approved
HPA003093: AB_1078597	Approved
HPA038182: AB_10669519, HPA062025: 	Supported
HPA035917: AB_2674860, HPA035918: AB_10670593	Supported
CAB034178: AB_1564323, HPA036354: AB_10672242	Approved
HPA006735: AB_1852384, HPA017142: AB_1852382	Enhanced
HPA038042: AB_10673038, HPA038043: AB_10672402, HPA061547: 	Enhanced
HPA007409: AB_10601649	Supported
HPA019823: AB_1848389	Approved
HPA014324: AB_2668972, HPA051564: AB_2681536	Approved
HPA042652: 	Approved
HPA041879: AB_10797269	Approved
HPA027809: AB_10599616, HPA027811: AB_10600872	Supported
HPA039369: AB_10795250, HPA040180: AB_10794736	Approved
HPA048831: , HPA055751: 	Approved
HPA038286: 	Approved
HPA041021: AB_10959734, HPA056698: 	Enhanced
HPA019338: AB_1845819, HPA052909: 	Supported
HPA048929: , HPA058064: 	Approved
HPA055050: 	Approved
HPA019719: AB_1853910, HPA026748: AB_1853911, HPA026752: AB_1853912	Approved
HPA040181: AB_10796448, HPA058774: 	Approved
HPA051840: , HPA062239: 	Enhanced
HPA003077: AB_1079264	Uncertain
HPA049774: , HPA061695: 	Approved
HPA052598: , HPA063357: 	Approved
HPA036068: AB_10673495	Approved
HPA043267: , HPA043292: , HPA077864: 	Approved
HPA011651: , HPA071871: 	Uncertain
HPA010803: AB_1079200, HPA010850: 	Approved
HPA062443: , HPA069294: 	Enhanced
HPA034591: AB_10670572	Approved
HPA051712: 	Supported
HPA036582: AB_10670233	Approved
CAB025016: , HPA035268: , HPA056991: 	Approved
HPA015885: AB_1848396, HPA029777: 	Approved
HPA043376: , HPA050548: 	Enhanced
HPA048345: 	Approved
HPA050813: 	Approved
HPA041159: AB_10793871	Approved
HPA051067: , HPA067140: 	Approved
HPA054049: 	Approved
HPA053331: 	Approved
HPA053331: 	Uncertain
CAB017847: , HPA060398: 	Approved
HPA009076: AB_1848402	Approved
HPA003585: AB_1080603	Enhanced
HPA067817: 	Supported
HPA036452: AB_10671841, HPA058138: 	Uncertain
HPA037751: , HPA037752: AB_10672285	Approved
HPA015718: AB_1848405, HPA017281: AB_1848406	Approved
HPA046812: , HPA054443: 	Approved
HPA048111: 	Approved
HPA020636: AB_1854739	Uncertain
HPA020513: AB_1853077, HPA024248: 	Approved
HPA043271: , HPA067321: 	Approved
HPA043271: , HPA067321: 	Approved
HPA043271: , HPA067321: 	Approved
HPA043271: , HPA067321: 	Approved
HPA044762: AB_10795886, HPA077897: 	Approved
HPA036608: 	Approved
HPA021472: AB_1848411, HPA023914: AB_1848412	Uncertain
HPA052789: , HPA073246: 	Approved
HPA001847: , HPA065797: 	Approved
HPA052615: 	Approved
HPA049333: , HPA060854: 	Supported
HPA051207: AB_2681388, HPA064657: 	Approved
HPA023369: AB_1848415, HPA023940: AB_1848416	Approved
HPA024505: AB_1848417, HPA024604: AB_1848418	Approved
HPA047703: 	Approved
HPA050782: AB_2681235, HPA062115: 	Approved
HPA041610: , HPA055718: 	Uncertain
HPA041610: , HPA055718: 	Uncertain
HPA059052: , HPA059578: 	Approved
HPA044698: , HPA073675: 	Approved
HPA027978: AB_10600004	Approved
HPA034760: AB_10599947, HPA058942: 	Approved
HPA040459: AB_10796456, HPA063729: 	Enhanced
HPA041501: AB_10795123, HPA041736: AB_10793932	Supported
HPA036250: , HPA036251: AB_10673124	Supported
HPA008320: AB_1848419, HPA008502: AB_1848420	Supported
HPA040930: AB_10795484, HPA041730: AB_10804114	Approved
HPA035135: AB_10669999	Uncertain
HPA048198: 	Supported
HPA063236: 	Supported
CAB017793: , HPA030771: 	Supported
CAB016117: AB_2278211, HPA063742: 	Supported
CAB014893: 	Supported
HPA008899: 	Supported
CAB008105: AB_2231542, HPA045335: 	Supported
HPA039972: AB_10673265, HPA040379: 	Enhanced
CAB033842: AB_1122766, HPA036685: AB_10672474, HPA036686: AB_10670844	Approved
HPA055144: 	Supported
HPA038413: AB_10697249	Supported
HPA017322: AB_1848424	Supported
HPA015884: AB_1853998	Approved
HPA000760: AB_1078816	Supported
HPA031226: AB_10602808, HPA055592: 	Approved
HPA018148: AB_1848426, HPA028836: AB_10601377	Uncertain
HPA001911: AB_1848427	Supported
HPA036677: , HPA036678: AB_10673504, HPA061398: 	Supported
HPA027444: AB_10601378	Supported
CAB005192: AB_2101095, CAB015417: AB_2231427, HPA006461: AB_1848437, HPA056108: AB_2683039	Enhanced
CAB032539: AB_2101115, HPA031621: AB_10611966	Approved
HPA043719: 	Approved
HPA067191: 	Supported
HPA068525: , HPA074462: 	Supported
HPA052819: 	Approved
HPA059015: 	Supported
HPA039106: AB_10697546	Approved
HPA023677: AB_1848440	Supported
CAB001514: AB_367009, HPA049546: 	Supported
HPA025287: AB_1848443, HPA072750: 	Enhanced
HPA049546: 	Supported
CAB004393: AB_671972, CAB068187: , HPA001612: AB_1078825, HPA001613: AB_1078824	Approved
CAB018622: AB_2294196, HPA001934: AB_1078827	Supported
CAB025843: , HPA000848: AB_1078620, HPA000868: AB_1078619	Supported
HPA034992: AB_10601469	Approved
CAB002670: , CAB058696: , CAB068188: , HPA017759: AB_1848584, HPA021057: AB_1848586	Approved
CAB026401: , HPA012853: AB_1848588	Approved
CAB033869: AB_1121520, HPA005857: AB_1848445, HPA012513: AB_1848446	Uncertain
HPA012513: AB_1848446, HPA055286: , HPA077371: 	Approved
HPA044117: AB_10794394	Approved
HPA049880: 	Approved
HPA002843: 	Approved
HPA053889: 	Approved
HPA036410: , HPA036411: AB_10669603	Supported
HPA036049: 	Approved
HPA035317: 	Approved
HPA061783: 	Approved
HPA044748: , HPA050397: 	Supported
HPA047624: , HPA054627: 	Uncertain
HPA053283: , HPA065626: 	Enhanced
CAB033362: AB_2103974, HPA029140: AB_10611967	Supported
HPA008867: AB_2668161	Approved
HPA035587: , HPA035588: AB_10670023	Approved
HPA002863: AB_10965996, HPA072721: 	Approved
HPA002690: AB_1848448	Supported
HPA058676: , HPA076472: 	Approved
HPA005472: 	Approved
HPA062411: , HPA071452: 	Approved
HPA046800: , HPA062242: 	Approved
HPA003289: 	Supported
HPA002467: 	Approved
HPA012583: 	Approved
HPA030150: AB_10670559	Approved
HPA058955: , HPA065209: 	Enhanced
HPA046657: AB_10960398	Approved
