To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
266,D10,D10_6719,HPA064572,IPO4,Q8TEX9,20.07,importin 4,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transporters,ENSG00000196497,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto),3:Approved,Cytosol,,,Cytosol,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
267,E10,E10_6719,HPA064882,E2F8,A0AVK6,10.00,E2F transcription factor 8,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000129173,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Cytosol - 12: Uncertain (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoli,Nucleoplasm;Cytosol,,Nucleoplasm;Nucleoli,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
268,F10,F10_6719,HPA065025,PHOSPHO1,Q8TCT1,1.96,phosphoethanolamine/phosphocholine phosphatase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000173868,Diana,,1000: Finished IF,Actin filaments - 7: Approved (auto);Plasma membrane - 7: Approved (auto),3:Approved,Actin filaments,Plasma membrane,,Actin filaments,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
269,G10,G10_6719,HPA065245,SLC16A13,Q7RTY0,4.66,solute carrier family 16 member 13,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Potential drug targets;Predicted membrane proteins;Protein evidence (Peptideatlas);Transporters,ENSG00000174327,Diana,,1000: Finished IF,Golgi apparatus - 3: Supportive (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Golgi apparatus,Cytosol,,Golgi apparatus;Cytosol,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
270,H10,H10_6719,HPA065840,LRRC75A,Q8NAA5,0.85,leucine rich repeat containing 75A,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000181350,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Nucleoli - 7: Approved (auto),3:Approved,Nucleoplasm,Nucleoli,,Nucleoli,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
271,A11,A11_6719,HPA066466,CTDNEP1,O95476,126.66,CTD nuclear envelope phosphatase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000175826,Diana,,1000: Finished IF,Lipid droplets - 3: Supportive (manual),2:Supportive,Lipid droplets,,,Lipid droplets,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
272,B11,B11_6719,HPA068562,PRAME,P78395,171.53,preferentially expressed antigen in melanoma,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000185686,Diana,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Plasma membrane,,,Nucleoplasm;Plasma membrane,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
273,C11,C11_6719,HPA069871,GFM2,Q969S9,30.00,G elongation factor mitochondrial 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164347,Diana,,11: In IF,Mitochondria - no score;Nucleoplasm - no score,,,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
274,D11,D11_6719,HPA070455,INPP5D,Q92835,1.63,inositol polyphosphate-5-phosphatase D,Cytoskeleton related proteins;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);SH2-domain containing proteins,ENSG00000168918,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto),2:Supportive,Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,4:No bands detected.
275,E11,E11_6719,HPA074382,LHX1,P48742,1.20,LIM homeobox 1,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas);Transcription factors,ENSG00000273706,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Golgi apparatus - 7: Approved (auto),3:Approved,Nucleoplasm,Golgi apparatus,,Nucleoplasm;Golgi apparatus,,,,,,
276,F11,F11_6719,HPA074534,RAB8B,Q92930,30.63,"RAB8B, member RAS oncogene family",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166128,Diana,,1000: Finished IF,Vesicles - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto);Nuclear bodies - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Vesicles,Nuclear bodies,,Nucleoplasm;Nuclear bodies;Vesicles,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
277,G11,G11_6719,HPA074638,FGG,P02679,0.53,fibrinogen gamma chain,Cancer-related genes;Candidate cardiovascular disease genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000171557,Diana,,1000: Finished IF,Endoplasmic reticulum - 8: Approved (auto),3:Approved,Endoplasmic reticulum,,,Endoplasmic reticulum,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,4:No bands detected.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
278,H11,H11_6719,HPA075062,SCG2,P13521,2.16,secretogranin II,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000171951,Diana,,1000: Finished IF,Golgi apparatus - 8: Approved (auto);Vesicles - 8: Approved (auto),3:Approved,Golgi apparatus,Vesicles,,Vesicles,,,,,,
279,A12,A12_6719,HPA075875,CDH5,P33151,0.98,cadherin 5,Cancer-related genes;CD markers;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000179776,Diana,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Nuclear membrane - 12: Uncertain (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Plasma membrane,Nucleoplasm;Nuclear membrane,,Nucleoplasm;Plasma membrane,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
280,B12,B12_6719,HPA076238,HMGN5,P82970,35.71,high mobility group nucleosome binding domain 5,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000198157,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Mitochondria - 12: Uncertain (auto),2:Supportive,Nucleoplasm,Mitochondria,,Nucleoplasm,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
281,C12,C12_6719,HPA076624,CSF1,P09603,9.47,colony stimulating factor 1,Cancer-related genes;Candidate cardiovascular disease genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Predicted secreted proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas);RAS pathway related proteins,ENSG00000184371,Diana,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Nuclear bodies - 12: Uncertain (auto),2:Supportive,Plasma membrane,Nuclear bodies,,Nuclear bodies,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
282,D12,D12_6719,HPA076984,ZNF608,Q9ULD9,24.54,zinc finger protein 608,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000168916,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Mitochondria - 7: Approved (auto),3:Approved,Nucleoplasm,Mitochondria,,Mitochondria,,,,,,
283,E12,E12_6719,HPA077484,TNFAIP8L3,Q5GJ75,0.69,TNF alpha induced protein 8 like 3,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000183578,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Nucleoplasm,,,,,,
284,F12,F12_6719,HPA077526,PCDHGB2,Q9Y5G2,0.75,"protocadherin gamma subfamily B, 2",Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Peptideatlas),ENSG00000253910,Diana,,1000: Finished IF,Vesicles - 7: Approved (auto);Plasma membrane - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Vesicles,Plasma membrane;Cytosol,,Plasma membrane;Cytosol,,,,,,
285,G12,G12_6719,HPA077907,LUZP6,Q538Z0,2.51,leucine zipper protein 6,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins,ENSG00000267697,Diana,,1000: Finished IF,Lipid droplets - 7: Approved (auto),3:Approved,Lipid droplets,,,Lipid droplets,,,,,,
286,A01,A01_6720,HPA001141,A4GALT,Q9NPC4,2.74,"alpha 1,4-galactosyltransferase (P blood group)",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000128274,Christian,no,1000: Finished IF,Mitochondria - 7: Approved (auto),3:Approved,Mitochondria,,,Mitochondria,,,,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.,,4:No bands detected.
287,B01,B01_6720,HPA004141,ACSS2,Q9NR19,6.04,acyl-CoA synthetase short chain family member 2,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000131069,Christian,no,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto);Vesicles - 5: Approved (auto),2:Supportive,Nucleoplasm;Cytosol,Vesicles,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
288,C01,C01_6720,HPA006465,ECD,O95905,44.89,ecdysoneless cell cycle regulator,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors predicted,ENSG00000122882,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm,Cytosol,Nucleoplasm;Cytosol,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
289,D01,D01_6720,HPA007162,ACSL5,Q9ULC5,0.51,acyl-CoA synthetase long chain family member 5,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000197142,Christian,yes,1000: Finished IF,Mitochondria - 3: Supportive (auto);Nucleoli - 12: Uncertain (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Mitochondria,Nucleoplasm;Nucleoli,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
290,E01,E01_6720,HPA008410,CKAP2,Q8WWK9,65.15,cytoskeleton associated protein 2,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000136108,Diana,,1000: Finished IF,Cytosol - 12: Uncertain (auto);Microtubules - 3: Supportive (auto),2:Supportive,Microtubules;Cytosol,,Microtubules;Cytosol,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
291,F01,F01_6720,HPA018469,PDCL3,Q9H2J4,47.38,phosducin like 3,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000115539,Diana,,1000: Finished IF,Cytosol - 1 [3]: Supportive (auto);Nucleoplasm - 6 [12]: Approved (auto),2:Supportive,Cytosol,Nucleoplasm,Nucleoplasm;Cytosol,,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
292,G01,G01_6720,HPA019006,ACADVL,P49748,91.28,acyl-CoA dehydrogenase very long chain,Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000072778,Christian,yes,1000: Finished IF,Mitochondria - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto);Nucleoli - 12: Uncertain (auto);Cytosol - 12: Uncertain (auto),2:Supportive,Nucleoplasm;Mitochondria,Nucleoli;Cytosol,,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
293,H01,H01_6720,HPA019869,GSTP1,P09211,924.35,glutathione S-transferase pi 1,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000084207,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Mitochondria - 3: Supportive (auto),2:Supportive,Mitochondria;Cytosol,,,Mitochondria;Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
294,A02,A02_6720,HPA020065,ABTB2,Q8N961,0.59,ankyrin repeat and BTB domain containing 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000166016,Christian,yes,1000: Finished IF,Nucleoplasm - 2 [7]: Supportive (auto),2:Supportive,Nucleoplasm,,,,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
295,B02,B02_6720,HPA020289,AAK1,Q2M2I8,29.33,AP2 associated kinase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000115977,Christian,,1000: Finished IF,Plasma membrane - 7: Approved (?);Cytosol - 7: Approved (?),3:Approved,Plasma membrane;Cytosol,,,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
296,C02,C02_6720,HPA020965,HAUS6,Q7Z4H7,18.51,HAUS augmin like complex subunit 6,Cytoskeleton related proteins;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000147874,Diana,,1000: Finished IF,Cytosol - 12: Uncertain (auto);Nuclear speckles - 12: Uncertain (auto);Centriolar satellite - 3: Supportive (manual),2:Supportive,Nuclear speckles;Centriolar satellite;Cytosol,,,Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
297,D02,D02_6720,HPA022133,TP53BP1,Q12888,23.63,tumor protein p53 binding protein 1,Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000067369,Diana,,1000: Finished IF,Nuclear bodies - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto),2:Supportive,Nuclear bodies,Nucleoplasm,,Nucleoplasm;Nuclear bodies,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
298,E02,E02_6720,HPA025735,ACOT7,O00154,78.87,acyl-CoA thioesterase 7,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Mitochondrial proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000097021,Christian,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Cytosol,Nucleoplasm,,Cytosol,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
299,F02,F02_6720,HPA026111,NES,P48681,36.91,nestin,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000132688,Diana,,1000: Finished IF,Intermediate filaments - 1 [3]: Supportive (manual),2:Supportive,Intermediate filaments,,,Intermediate filaments,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.
300,G02,G02_6720,HPA026425,AKR1B1,P15121,119.90,aldo-keto reductase family 1 member B,Cancer-related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000085662,Diana,,1000: Finished IF,Cytosol - 1 [3]: Supportive (auto);Nucleoplasm - 6 [12]: Approved (auto),2:Supportive,Nucleoplasm;Cytosol,,Nucleoplasm;Cytosol,,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
301,H02,H02_6720,HPA026502,STK24,Q9Y6E0,48.59,serine/threonine kinase 24,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000102572,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoli;Cytosol,,,Nucleoli,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
302,A03,A03_6720,HPA027169,CDCA7L,Q96GN5,69.63,cell division cycle associated 7 like,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000164649,Diana,,1000: Finished IF,Nucleoli - 3: Supportive (auto);Nucleoplasm - 3: Supportive (auto);Cytosol - 3: Supportive (auto),2:Supportive,Nucleoplasm;Nucleoli,Cytosol,,Nucleoplasm;Nucleoli,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
303,B03,B03_6720,HPA027555,POLE2,P56282,38.33,"DNA polymerase epsilon 2, accessory subunit",Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100479,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Vesicles - 12: Uncertain (auto);Nuclear bodies - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nuclear bodies;Vesicles,Nucleoplasm;Nuclear bodies,,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
304,C03,C03_6720,HPA027838,ANAPC11,Q9NYG5,172.40,anaphase promoting complex subunit 11,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000141552,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Nucleoli - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nucleoli,,Nucleoli,,,,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
305,D03,D03_6720,HPA028498,AGL,P35573,9.65,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Potential drug targets;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000162688,Christian,,1000: Finished IF,Nucleoplasm - 8: Approved (manual);Cytosol - 3: Supportive (manual);Nuclear bodies - 12: Uncertain (auto),3:Approved,Nucleoplasm,Nuclear bodies;Cytosol,,,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
306,E03,E03_6720,HPA029937,EGR1,P18146,23.80,early growth response 1,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000120738,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (?),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
307,F03,F03_6720,HPA030522,PCNA,P12004,367.12,proliferating cell nuclear antigen,Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000132646,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Nuclear bodies - 3: Supportive (auto),2:Supportive,Nucleoplasm,Nuclear bodies,,Nucleoplasm;Nuclear bodies,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
308,G03,G03_6720,HPA031347,TSPYL5,Q86VY4,27.29,TSPY like 5,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000180543,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto);Golgi apparatus - 7: Approved (auto),3:Approved,Cytosol,Golgi apparatus,Golgi apparatus;Cytosol,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
309,H03,H03_6720,HPA034944,ACYP1,P07311,54.52,acylphosphatase 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000119640,Christian,,1000: Finished IF,Cytosol - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Cytosol,Nucleoplasm,,,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,6:Weak band of predicted size but with additional bands of higher intensity also present.
