hgnc_symbol,gene_id
,ENSG00000206636
RNU6-10P,ENSG00000206763
RNU6-912P,ENSG00000200670
RN7SKP209,ENSG00000252697
RNU6-435P,ENSG00000206766
RNU6-563P,ENSG00000201742
RN7SL183P,ENSG00000240997
,ENSG00000277913
RNA5SP311,ENSG00000238405
RNA5SP22,ENSG00000202263
,ENSG00000200591
,ENSG00000206814
RN7SKP250,ENSG00000200794
RNU4-9P,ENSG00000201821
SNORD56B,ENSG00000207444
RNA5SP60,ENSG00000222552
RNU6-453P,ENSG00000252628
RNU1-119P,ENSG00000212424
SNORD42A,ENSG00000238649
,ENSG00000277764
RNU6-901P,ENSG00000207323
,ENSG00000202410
RN7SL675P,ENSG00000239580
RNU6-5P,ENSG00000206965
,ENSG00000201624
RNU6-129P,ENSG00000212324
SNORD114-19,ENSG00000199942
,ENSG00000278459
,ENSG00000251925
RN7SL51P,ENSG00000239958
,ENSG00000274452
,ENSG00000278770
RNA5SP255,ENSG00000252179
RNA5SP373,ENSG00000253080
RNA5SP164,ENSG00000252342
RNA5SP269,ENSG00000239184
RN7SL138P,ENSG00000266274
,ENSG00000212241
RNU6ATAC19P,ENSG00000221023
RNY4P20,ENSG00000252487
SNORD115-3,ENSG00000199970
,ENSG00000252420
RNA5SP95,ENSG00000222251
,ENSG00000273532
,ENSG00000253016
RNU7-116P,ENSG00000252749
,ENSG00000207123
RNU6-1111P,ENSG00000212420
RNU7-167P,ENSG00000238584
RNA5SP272,ENSG00000251904
,ENSG00000199630
RNU6-1273P,ENSG00000199903
RNA5SP107,ENSG00000223290
RNU6-414P,ENSG00000200575
RNU6-147P,ENSG00000206710
,ENSG00000276771
RNY1P12,ENSG00000201121
RNU4-7P,ENSG00000201628
RNU6-407P,ENSG00000202150
,ENSG00000207329
,ENSG00000206692
SNORA8,ENSG00000207304
RNU7-176P,ENSG00000238962
,ENSG00000278852
RN7SL738P,ENSG00000243339
SNORD115-9,ENSG00000199782
RNU6-460P,ENSG00000212460
RNU6-753P,ENSG00000200796
RNA5SP334,ENSG00000201695
,ENSG00000206901
RN7SL764P,ENSG00000240317
RNA5SP493,ENSG00000200985
SNORA41B,ENSG00000207516
RNU6-456P,ENSG00000207222
RN7SL317P,ENSG00000242668
SNORA57,ENSG00000206597
,ENSG00000276057
RNY1P11,ENSG00000200629
RNU6-834P,ENSG00000199237
RNU7-144P,ENSG00000238452
,ENSG00000283438
RNU6-531P,ENSG00000252503
RNA5SP396,ENSG00000201704
RNU6-135P,ENSG00000252578
,ENSG00000200428
RNU2-21P,ENSG00000222300
RNU6-73P,ENSG00000207330
RN7SL344P,ENSG00000241395
RN7SL468P,ENSG00000264833
,ENSG00000201498
RNU6-165P,ENSG00000252979
RN7SKP58,ENSG00000222942
RNU6-1334P,ENSG00000251841
,ENSG00000201047
RNU6-157P,ENSG00000206684
RN7SL526P,ENSG00000243642
SNORD115-39,ENSG00000200564
,ENSG00000221498
RN7SL518P,ENSG00000265486
,ENSG00000200179
RNU6-239P,ENSG00000212292
RNU5E-6P,ENSG00000202444
RNU7-8P,ENSG00000251767
RN7SKP71,ENSG00000201428
RNA5SP195,ENSG00000199545
RN7SL546P,ENSG00000239224
RNA5SP487,ENSG00000222118
,ENSG00000275625
RNU6-231P,ENSG00000252931
RNU6-641P,ENSG00000206733
RNU6-764P,ENSG00000252205
RNU6-1234P,ENSG00000252686
RN7SL795P,ENSG00000239748
MIR4423,ENSG00000266110
,ENSG00000202079
RNA5SP207,ENSG00000212176
,ENSG00000252822
RNU6-409P,ENSG00000206841
SNORD9,ENSG00000199436
MIR4258,ENSG00000264349
,ENSG00000200351
RNU6-478P,ENSG00000200774
,ENSG00000212590
,ENSG00000201316
,ENSG00000201584
RNU6-338P,ENSG00000206615
MIR4671,ENSG00000264377
RN7SL43P,ENSG00000275878
RNU7-180P,ENSG00000238374
RN7SL798P,ENSG00000240905
,ENSG00000278815
RNU6-1292P,ENSG00000206583
RN7SL691P,ENSG00000239464
RNU4-86P,ENSG00000222067
MIR548AK,ENSG00000265653
,ENSG00000278406
RN7SL812P,ENSG00000242876
,ENSG00000276178
RN7SKP133,ENSG00000201715
RNA5SP43,ENSG00000252368
MIR761,ENSG00000283899
MIR4482,ENSG00000266852
RNU6-807P,ENSG00000252614
,ENSG00000276353
,ENSG00000200842
,ENSG00000275909
SNORD114-27,ENSG00000200636
MIR6073,ENSG00000284094
MIR4302,ENSG00000283603
,ENSG00000238490
,ENSG00000199895
SNORD116-29,ENSG00000207245
RNU6-260P,ENSG00000206819
RNU7-77P,ENSG00000253054
RNU6-967P,ENSG00000201894
MIR548K,ENSG00000221333
,ENSG00000265061
RNU7-179P,ENSG00000252417
RNU6-280P,ENSG00000201015
RNA5SP111,ENSG00000223318
,ENSG00000277666
,ENSG00000200287
,ENSG00000252021
,ENSG00000238297
MIR4693,ENSG00000264200
,ENSG00000202345
MIR548H1,ENSG00000221537
,ENSG00000278724
,ENSG00000200206
MIR378F,ENSG00000264926
RNY3P4,ENSG00000207157
,ENSG00000276494
,ENSG00000274790
MIR6763,ENSG00000277052
RNA5SP61,ENSG00000252262
,ENSG00000273727
MIR411,ENSG00000199109
MIR4679-2,ENSG00000265375
RNU7-74P,ENSG00000239010
RNU6-838P,ENSG00000200269
RNU7-67P,ENSG00000239115
MIR3173,ENSG00000264607
RNA5SP386,ENSG00000272253
,ENSG00000274848
RNU7-14P,ENSG00000238468
MIR758,ENSG00000211582
MIR2909,ENSG00000276326
SNORD19C,ENSG00000222345
RN7SL687P,ENSG00000244335
,ENSG00000199196
MIR4739,ENSG00000266665
RNU6-102P,ENSG00000207214
MIR4508,ENSG00000265673
MIR6767,ENSG00000283180
RN7SL275P,ENSG00000263940
RNA5SP309,ENSG00000252479
RN7SL221P,ENSG00000239472
RNU6-848P,ENSG00000251757
RNU6-1296P,ENSG00000206606
MIR4318,ENSG00000266530
MIR3670-1,ENSG00000263918
,ENSG00000212538
MIR3064,ENSG00000284564
MIR30C1,ENSG00000207962
MIR196A1,ENSG00000210741
RN7SL513P,ENSG00000239821
RN7SKP269,ENSG00000202415
MIR4746,ENSG00000266437
RNA5SP133,ENSG00000200238
,ENSG00000283502
RNU6-1124P,ENSG00000206896
MIR3940,ENSG00000284159
MIR190B,ENSG00000215938
,ENSG00000239823
,ENSG00000252441
MIR4524A,ENSG00000283385
MIR1301,ENSG00000221445
,ENSG00000199200
MIR1470,ENSG00000269782
MIR557,ENSG00000207974
RNU5A-7P,ENSG00000251788
SNORD33,ENSG00000199631
RNU4-5P,ENSG00000272160
,ENSG00000283256
,ENSG00000201102
MIR1539,ENSG00000284239
,ENSG00000200998
MIR4785,ENSG00000283734
MIR3131,ENSG00000264755
MIR29B2,ENSG00000284203
RN7SKP1,ENSG00000202395
RNU6-159P,ENSG00000212382
MIR3190,ENSG00000265134
,ENSG00000276225
MIR4441,ENSG00000264810
MIR6870,ENSG00000273745
RNU6-434P,ENSG00000207104
RNU6-917P,ENSG00000252103
RN7SL156P,ENSG00000242509
RNU6-958P,ENSG00000252804
MIR3941,ENSG00000265442
RNU6-509P,ENSG00000200389
MIRLET7E,ENSG00000198972
MIR645,ENSG00000208018
,ENSG00000277437
RNU1-7P,ENSG00000200975
MIR203B,ENSG00000283165
,ENSG00000251996
,ENSG00000221711
RNU6-861P,ENSG00000252554
,ENSG00000276496
MIR499B,ENSG00000283441
RN7SL536P,ENSG00000278222
MIR6815,ENSG00000275167
,ENSG00000239096
MIR6130,ENSG00000275469
MIR4418,ENSG00000266564
MIR3942,ENSG00000265102
,ENSG00000200888
MIR5739,ENSG00000276162
,ENSG00000201898
MIR4455,ENSG00000263458
RNA5SP427,ENSG00000202193
RNA5SP345,ENSG00000222578
RNU6-1191P,ENSG00000252608
RNU6-454P,ENSG00000201162
MIR95,ENSG00000207807
MIR3162,ENSG00000264559
MIR6516,ENSG00000284250
MIR569,ENSG00000207963
MIR3135B,ENSG00000263649
RNU6-391P,ENSG00000202050
RNU7-175P,ENSG00000251724
,ENSG00000274520
MIR4466,ENSG00000271899
MIR1908,ENSG00000284416
RNU6-693P,ENSG00000251943
RNU6-928P,ENSG00000252685
,ENSG00000252517
MIR571,ENSG00000207642
MIR4660,ENSG00000263407
MIR3975,ENSG00000283514
MIR139,ENSG00000272036
MIR6842,ENSG00000273836
RNU6-772P,ENSG00000251851
,ENSG00000278802
RNU6-18P,ENSG00000207257
MIR4285,ENSG00000264675
MIR2052,ENSG00000283188
,ENSG00000202001
MIR4749,ENSG00000265954
RNA5SP281,ENSG00000252313
RNU7-156P,ENSG00000253023
MIR4692,ENSG00000265064
MIR4475,ENSG00000266255
MIR3622B,ENSG00000265075
MIR3686,ENSG00000263763
RN7SL632P,ENSG00000241524
,ENSG00000278198
RNU6-192P,ENSG00000212555
RNU7-106P,ENSG00000238842
MIR519D,ENSG00000207981
MIR4493,ENSG00000265357
RNU4-17P,ENSG00000202468
MIR7-1,ENSG00000284179
MIR892A,ENSG00000215943
SNORA67,ENSG00000277985
MIR3911,ENSG00000283874
RN7SL802P,ENSG00000277506
MIR933,ENSG00000215973
MIR5188,ENSG00000265345
MIR455,ENSG00000207726
MIR513A2,ENSG00000207984
,ENSG00000275661
MIR10B,ENSG00000207744
MIR3612,ENSG00000265635
MIR548AW,ENSG00000263816
RNU5F-3P,ENSG00000200637
RNU6-188P,ENSG00000201077
RNA5SP354,ENSG00000212549
RNU6-1322P,ENSG00000201179
MIR668,ENSG00000276352
RNU4-39P,ENSG00000199325
RN7SL33P,ENSG00000243049
RNVU1-7,ENSG00000206585
MIR425,ENSG00000199032
,ENSG00000238371
MIR513A1,ENSG00000207873
MIR6808,ENSG00000284372
,ENSG00000212440
SNORA1,ENSG00000206834
RNU6-1171P,ENSG00000252515
MIR193B,ENSG00000207639
RN7SL503P,ENSG00000240374
MIR5787,ENSG00000275334
,ENSG00000274967
MIR1976,ENSG00000238705
,ENSG00000206728
RNU6-986P,ENSG00000200003
RNU6-421P,ENSG00000201341
MIR576,ENSG00000207988
,ENSG00000202275
MIR3670-3,ENSG00000265776
RNU1-1,ENSG00000206652
MIR3157,ENSG00000266407
,ENSG00000201892
RNU4-63P,ENSG00000223245
RNU6ATAC29P,ENSG00000221015
RNVU1-25,ENSG00000274428
RNA5SP118,ENSG00000222317
MIR4484,ENSG00000265092
MIR4517,ENSG00000284541
MIR2054,ENSG00000283550
RNU6-269P,ENSG00000212379
RNU6-17P,ENSG00000206972
,ENSG00000199636
MIR610,ENSG00000207874
,ENSG00000275414
,ENSG00000252904
MIR4633,ENSG00000264563
RNU6-969P,ENSG00000206627
MIR195,ENSG00000284112
RN7SL625P,ENSG00000274656
,ENSG00000202335
,ENSG00000275222
RNU6-827P,ENSG00000202423
MIR6745,ENSG00000275208
RNU6-558P,ENSG00000201382
,ENSG00000206751
MIR1303,ENSG00000221552
RN7SL670P,ENSG00000264041
RN7SKP86,ENSG00000222386
MIR4523,ENSG00000284162
RNU6-446P,ENSG00000199697
,ENSG00000202537
MIR4488,ENSG00000266006
,ENSG00000276884
RN7SL225P,ENSG00000239856
,ENSG00000277927
MIR1202,ENSG00000221456
MIR7155,ENSG00000278359
RNU4-55P,ENSG00000222663
MIR4528,ENSG00000263872
RN7SKP55,ENSG00000201758
RN7SKP137,ENSG00000223006
,ENSG00000277966
,ENSG00000221633
MIR5692C2,ENSG00000266668
MIR920,ENSG00000216192
,ENSG00000201774
RN7SL833P,ENSG00000244080
MIR4745,ENSG00000284361
SNORA64,ENSG00000207405
RN7SL659P,ENSG00000244104
RNU6-774P,ENSG00000200108
MIR4659B,ENSG00000283386
MIR1297,ENSG00000283126
RNA5SP168,ENSG00000252451
RNU6-561P,ENSG00000252031
RNA5SP125,ENSG00000201713
RNU6-656P,ENSG00000252594
MIR4531,ENSG00000283673
RNU6-657P,ENSG00000206631
RN7SL667P,ENSG00000265170
MIR3926-1,ENSG00000266206
,ENSG00000202399
MIR342,ENSG00000199082
MIR1283-2,ENSG00000221548
,ENSG00000278333
RNA5SP276,ENSG00000199450
,ENSG00000200391
RNU6-476P,ENSG00000207457
,ENSG00000280404
RNU6-487P,ENSG00000202300
MIR299,ENSG00000207749
,ENSG00000222072
MIR4288,ENSG00000265251
RN7SL294P,ENSG00000242638
MIR558,ENSG00000207653
RN7SL791P,ENSG00000241291
RNU6-49P,ENSG00000206983
,ENSG00000207091
RNU6-21P,ENSG00000207441
RNU6-155P,ENSG00000252156
MIR548AZ,ENSG00000276479
MIR543,ENSG00000212040
,ENSG00000207391
MIR1302-4,ENSG00000221628
RN7SL107P,ENSG00000243424
RNU6-433P,ENSG00000200086
MIR7706,ENSG00000284160
MIR6716,ENSG00000284246
MIR6893,ENSG00000276598
RNU7-30P,ENSG00000252644
SNORA36A,ENSG00000206948
MIR4268,ENSG00000266518
SNORA11,ENSG00000221716
RNU4-72P,ENSG00000222686
RNU6-931P,ENSG00000200720
SNORA16B,ENSG00000201544
MIR8065,ENSG00000273648
,ENSG00000283584
RNA5SP522,ENSG00000251953
MIR3648-1,ENSG00000275708
MIR324,ENSG00000199053
MIR384,ENSG00000283242
MIR3913-1,ENSG00000264405
,ENSG00000201791
,ENSG00000206849
RN7SL825P,ENSG00000239731
,ENSG00000277740
RNU6-715P,ENSG00000202074
RNVU1-3,ENSG00000201183
RNU5B-2P,ENSG00000199906
MIR4444-2,ENSG00000266780
MIR6788,ENSG00000274838
RNA5SP35,ENSG00000212559
MIR4304,ENSG00000265526
RN7SKP249,ENSG00000202360
RNU4ATAC16P,ENSG00000221439
RN7SKP74,ENSG00000199719
RN7SKP275,ENSG00000201496
RNU1-85P,ENSG00000200997
SNORD115-26,ENSG00000275524
RNY1P10,ENSG00000200138
MIR548I2,ENSG00000221275
MIR4308,ENSG00000265432
MIR548AV,ENSG00000263750
RNY4P24,ENSG00000199605
RN7SL166P,ENSG00000275014
RNU6-769P,ENSG00000207136
RN7SL716P,ENSG00000263558
MIR4276,ENSG00000265846
,ENSG00000252615
MIR3680-1,ENSG00000265462
MIR4758,ENSG00000284074
RNU6-321P,ENSG00000222844
RNU1-4,ENSG00000207389
RNU6-677P,ENSG00000252723
,ENSG00000281780
SNORD115-22,ENSG00000201326
RNA5S15,ENSG00000201925
MIR7846,ENSG00000283789
RNU6-574P,ENSG00000206992
,ENSG00000275068
MIR6721,ENSG00000284469
,ENSG00000206905
MIR3935,ENSG00000265281
MIR3136,ENSG00000265355
RNU6-43P,ENSG00000207029
RN7SL459P,ENSG00000240993
,ENSG00000202438
RNY4P9,ENSG00000200064
MIR5585,ENSG00000266203
MIR4463,ENSG00000263533
RNU6-723P,ENSG00000206700
RN7SKP228,ENSG00000222974
MIR6792,ENSG00000273657
RNU6-1275P,ENSG00000212389
MIR544B,ENSG00000265981
RNU4ATAC5P,ENSG00000253035
MIR3116-1,ENSG00000263908
RNVU1-17,ENSG00000207349
MIR939,ENSG00000284310
SNORD13D,ENSG00000239035
,ENSG00000276233
MIR5091,ENSG00000266240
RNA5SP361,ENSG00000199556
MIR548AD,ENSG00000265301
RNU6-1137P,ENSG00000252882
RNU6-658P,ENSG00000207336
RNU6-966P,ENSG00000252288
RNA5SP298,ENSG00000201861
MIR5087,ENSG00000283676
MIR4477B,ENSG00000266017
MIR548H4,ENSG00000221616
RN7SL487P,ENSG00000243871
RNU1-153P,ENSG00000277678
MIR6724-1,ENSG00000275950
RNA5SP191,ENSG00000199455
MIR3916,ENSG00000283881
RN7SL396P,ENSG00000244642
MIR7114,ENSG00000284317
RN7SL359P,ENSG00000244384
RNU6-945P,ENSG00000206674
RNU7-18P,ENSG00000252174
MIR6843,ENSG00000284280
,ENSG00000238594
MIR3200,ENSG00000264661
,ENSG00000273549
MIR194-2,ENSG00000284155
,ENSG00000206982
,ENSG00000207417
MIR202,ENSG00000284219
MIR4536-1,ENSG00000283334
,ENSG00000202449
MIR4661,ENSG00000266194
,ENSG00000207146
MIR1324,ENSG00000283894
RN7SL869P,ENSG00000244392
MIR6860,ENSG00000283326
RNU6-353P,ENSG00000201136
,ENSG00000251811
MIR4485,ENSG00000283813
MIR4329,ENSG00000283775
SNORD114-4,ENSG00000200832
,ENSG00000201354
RNU2-1,ENSG00000274585
MIR6851,ENSG00000275651
MIR6755,ENSG00000283744
MIR6083,ENSG00000276656
SNORA70H,ENSG00000206637
RN7SL87P,ENSG00000239390
MIR8052,ENSG00000274999
MIR18B,ENSG00000283931
RNA5SP248,ENSG00000202472
,ENSG00000201218
RN7SL211P,ENSG00000244534
MIR601,ENSG00000207991
MIR7844,ENSG00000283818
MIR302D,ENSG00000199145
MIR548C,ENSG00000207546
RNU6-236P,ENSG00000200756
,ENSG00000200605
MIR892B,ENSG00000216098
RNU6-660P,ENSG00000201436
MIR619,ENSG00000207622
,ENSG00000199440
MIR6761,ENSG00000274697
MIR6833,ENSG00000277264
,ENSG00000200142
MIR3937,ENSG00000263730
RN7SKP141,ENSG00000251976
MIR4503,ENSG00000266327
,ENSG00000238485
MIR4305,ENSG00000264171
SNORA20,ENSG00000207392
,ENSG00000202459
,ENSG00000276669
MIR505,ENSG00000207633
MIR548AX,ENSG00000263652
RNU6-342P,ENSG00000207251
MIR4707,ENSG00000284118
RNU6-1150P,ENSG00000252606
MIR4710,ENSG00000265291
RNU6-896P,ENSG00000199246
RNU5B-3P,ENSG00000252410
RNA5SP450,ENSG00000223138
MIR105-2,ENSG00000207818
MIR448,ENSG00000199001
RNU7-173P,ENSG00000238950
RN7SL643P,ENSG00000243124
,ENSG00000201602
MIR548Y,ENSG00000263945
,ENSG00000202389
MIR662,ENSG00000207579
RNU6-664P,ENSG00000199251
RNU1-6P,ENSG00000277344
,ENSG00000212168
SNORA70C,ENSG00000207268
,ENSG00000275968
MIR320C2,ENSG00000212051
MIR8078,ENSG00000277521
RN7SL411P,ENSG00000265327
,ENSG00000275646
RNA5SP254,ENSG00000252535
RNU7-69P,ENSG00000252178
RNY1P14,ENSG00000207155
RNU4ATAC,ENSG00000264229
MIR320E,ENSG00000211513
MIR4771-1,ENSG00000264793
RN7SKP44,ENSG00000200472
,ENSG00000252367
RN7SL127P,ENSG00000242175
,ENSG00000275908
RNU6-741P,ENSG00000206616
MIR518A1,ENSG00000207803
RNU6-397P,ENSG00000252035
MIR4780,ENSG00000265003
RNU6-1039P,ENSG00000206658
,ENSG00000251974
,ENSG00000206682
,ENSG00000276055
RN7SL668P,ENSG00000239690
,ENSG00000252526
MIR4754,ENSG00000266640
,ENSG00000207034
,ENSG00000200385
RNU6-652P,ENSG00000202358
,ENSG00000263453
RNU6-798P,ENSG00000252721
RNU7-10P,ENSG00000271841
RN7SL782P,ENSG00000239708
MIR4262,ENSG00000265172
,ENSG00000278587
RN7SL270P,ENSG00000277198
RNU6-662P,ENSG00000206980
,ENSG00000283592
RNU6-271P,ENSG00000200728
SNORD105,ENSG00000209645
RNU6-856P,ENSG00000252768
MIR1285-2,ENSG00000221238
,ENSG00000238926
MIR7109,ENSG00000284082
RNU6-289P,ENSG00000200963
RNA5SP153,ENSG00000252307
RNU6-12P,ENSG00000207334
,ENSG00000271394
MIR1246,ENSG00000283203
,ENSG00000278010
MIR6889,ENSG00000274552
RNU6-358P,ENSG00000252373
RNA5S17,ENSG00000200370
RNA5S6,ENSG00000200624
,ENSG00000199516
RN7SKP9,ENSG00000201793
RN7SL28P,ENSG00000244512
,ENSG00000274385
MIR6890,ENSG00000284488
RNU4-16P,ENSG00000201607
RNU5F-8P,ENSG00000251750
,ENSG00000207922
,ENSG00000277313
RNU6-214P,ENSG00000206857
RNU6ATAC14P,ENSG00000252027
,ENSG00000201026
RNU6-115P,ENSG00000201180
RNA5-8SP4,ENSG00000201966
RN7SL605P,ENSG00000265566
MIR198,ENSG00000284121
SNORA48B,ENSG00000212214
RNU6-32P,ENSG00000206675
RNU7-81P,ENSG00000252507
MIR1255A,ENSG00000221265
,ENSG00000277371
SNORD116-27,ENSG00000251896
RNU6-1127P,ENSG00000207310
RNU2-22P,ENSG00000223198
,ENSG00000277542
MIR4788,ENSG00000284561
RNU7-48P,ENSG00000238386
RNU1-100P,ENSG00000202125
RN7SL741P,ENSG00000242381
,ENSG00000207467
MIR4456,ENSG00000264233
,ENSG00000201563
RNU1-74P,ENSG00000206835
MIR570,ENSG00000207650
RN7SKP273,ENSG00000223324
SNORA70J,ENSG00000206909
RN7SL140P,ENSG00000266059
,ENSG00000221611
MIR5706,ENSG00000264536
RNU6-790P,ENSG00000207208
RNU2-19P,ENSG00000253097
RNU6-900P,ENSG00000207227
RN7SL302P,ENSG00000241246
RNU6-109P,ENSG00000252173
RN7SL828P,ENSG00000272075
MIR4798,ENSG00000264658
,ENSG00000200256
MIR3655,ENSG00000284325
,ENSG00000273571
RNA5SP321,ENSG00000199592
RNA5SP270,ENSG00000223293
MIR3688-2,ENSG00000283379
RNU7-197P,ENSG00000239168
SNORD114-21,ENSG00000272344
,ENSG00000201239
,ENSG00000221455
,ENSG00000202200
,ENSG00000276312
,ENSG00000212558
RN7SL759P,ENSG00000278497
MIR6131,ENSG00000277073
MIR378A,ENSG00000199047
RNU1-8P,ENSG00000207056
MIR449A,ENSG00000198983
,ENSG00000252660
RNA5SP497,ENSG00000251890
,ENSG00000200579
RNU1-51P,ENSG00000202215
RNU11-4P,ENSG00000212451
RNU6-1255P,ENSG00000200304
RNU6-1293P,ENSG00000206804
RNU6-642P,ENSG00000200029
RNU6-522P,ENSG00000201367
RN7SKP6,ENSG00000201665
MIR5004,ENSG00000284256
MIR3142,ENSG00000265237
SNORD114-20,ENSG00000202048
RN7SL574P,ENSG00000266075
RNA5SP223,ENSG00000202044
MIR6068,ENSG00000275836
RNU6-972P,ENSG00000212510
RNU6-1187P,ENSG00000201641
,ENSG00000252236
MIR548N,ENSG00000221669
MIR6837,ENSG00000284067
MIR488,ENSG00000202609
RNA5SP356,ENSG00000251781
RN7SL343P,ENSG00000273717
RNU6-322P,ENSG00000251819
SNORD121A,ENSG00000238886
,ENSG00000252357
RNA5SP41,ENSG00000222952
RNA5S8,ENSG00000200343
MIR4657,ENSG00000284261
RNU4-22P,ENSG00000222990
,ENSG00000201710
SNORD45B,ENSG00000201487
MIR4480,ENSG00000263584
MIR3926-2,ENSG00000283523
MIR1302-9,ENSG00000283921
,ENSG00000276872
RN7SL333P,ENSG00000239494
RN7SL740P,ENSG00000244294
,ENSG00000253049
MIR675,ENSG00000284010
SNORD114-26,ENSG00000200413
RN7SL447P,ENSG00000243991
RN7SL578P,ENSG00000239228
RN7SKP210,ENSG00000238875
RN7SL766P,ENSG00000244197
,ENSG00000278791
RNU6-195P,ENSG00000223284
RNU6-626P,ENSG00000200224
MIR421,ENSG00000202566
MIR4474,ENSG00000264941
MIR618,ENSG00000208022
SNORD38B,ENSG00000207421
RNU6-636P,ENSG00000207328
MIR135A2,ENSG00000207586
RNU6-442P,ENSG00000206695
RN7SKP241,ENSG00000240294
RNU6-707P,ENSG00000201517
,ENSG00000199472
RNU6-843P,ENSG00000207183
,ENSG00000277311
MIR6773,ENSG00000284259
MIR1298,ENSG00000221710
,ENSG00000201311
MIR4472-2,ENSG00000264037
,ENSG00000277617
,ENSG00000274883
,ENSG00000207039
RNA5SP383,ENSG00000199804
,ENSG00000252129
RNU7-186P,ENSG00000238419
MIR6780A,ENSG00000275273
RNU6-1145P,ENSG00000206973
RN7SL186P,ENSG00000278124
RNU6-1317P,ENSG00000201452
MIR655,ENSG00000207646
RNY4P14,ENSG00000200526
RNU6-107P,ENSG00000252452
RNU5D-2P,ENSG00000252521
RN7SL417P,ENSG00000244056
,ENSG00000202014
MIR3187,ENSG00000263414
RNU7-66P,ENSG00000238949
,ENSG00000277035
RNU6-782P,ENSG00000252661
MIR4537,ENSG00000264781
RNA5SP85,ENSG00000202248
,ENSG00000207084
,ENSG00000275362
RNA5SP62,ENSG00000200327
SNORD4A,ENSG00000238578
MIR7-3,ENSG00000207630
,ENSG00000206639
,ENSG00000206898
MIR4714,ENSG00000264480
,ENSG00000276105
RNA5SP204,ENSG00000201415
RNU6ATAC8P,ENSG00000221387
MIR498,ENSG00000207869
,ENSG00000252657
SNORA80E,ENSG00000207475
,ENSG00000277269
,ENSG00000200982
,ENSG00000252601
,ENSG00000200922
RNU7-55P,ENSG00000239078
MIR6859-4,ENSG00000278739
MIR298,ENSG00000216031
RNU6-650P,ENSG00000202528
RNU4-8P,ENSG00000201806
RNU6-789P,ENSG00000252914
RNU6-608P,ENSG00000206654
RNU6ATAC28P,ENSG00000238561
RN7SL813P,ENSG00000241074
,ENSG00000264063
MIR1253,ENSG00000221200
,ENSG00000212279
,ENSG00000202169
RNU6-1279P,ENSG00000206644
RN7SKP87,ENSG00000200966
SNORD21,ENSG00000206680
,ENSG00000274326
MIR3714,ENSG00000283885
MIR4725,ENSG00000265976
,ENSG00000251715
,ENSG00000274709
RN7SL128P,ENSG00000240869
,ENSG00000202046
SNORD105B,ENSG00000238531
RN7SL568P,ENSG00000239703
RN7SKP62,ENSG00000207269
RNU6-911P,ENSG00000252332
MIR138-1,ENSG00000207954
MIR924,ENSG00000283615
RNU6-98P,ENSG00000206900
,ENSG00000201788
,ENSG00000275372
RNA5SP182,ENSG00000251873
RNU6-347P,ENSG00000252467
MIR2277,ENSG00000284336
,ENSG00000238933
,ENSG00000200635
RN7SKP31,ENSG00000252163
,ENSG00000278250
MIR4773-1,ENSG00000264684
RN7SKP129,ENSG00000222220
,ENSG00000206978
RNA5SP109,ENSG00000212312
RNA5SP511,ENSG00000222419
MIR5697,ENSG00000265521
MIR874,ENSG00000216009
MIR4759,ENSG00000266133
RNU6-894P,ENSG00000252903
RNU6-1138P,ENSG00000202229
RNA5SP159,ENSG00000252970
,ENSG00000276398
RN7SL440P,ENSG00000264963
,ENSG00000274836
RNU2-72P,ENSG00000223107
MIR3657,ENSG00000266370
MIR3143,ENSG00000265565
,ENSG00000275070
,ENSG00000207117
MIR548AY,ENSG00000276147
RNU4ATAC14P,ENSG00000252013
,ENSG00000212404
,ENSG00000286265
MIR19B1,ENSG00000284375
,ENSG00000252136
RNA5SP260,ENSG00000200719
MIR4643,ENSG00000263734
RNU6-637P,ENSG00000206777
SNORD115-14,ENSG00000199960
,ENSG00000202379
RN7SKP169,ENSG00000223056
MIR5689,ENSG00000263705
RN7SL549P,ENSG00000239825
RNU6-349P,ENSG00000199272
MIR4317,ENSG00000283532
,ENSG00000278778
MIR6874,ENSG00000283419
RNU6-918P,ENSG00000212521
MIR5583-2,ENSG00000283645
SNORD49A,ENSG00000277370
,ENSG00000201541
MIR4468,ENSG00000284028
MIR550A2,ENSG00000207573
RNA5SP96,ENSG00000251850
RNU6-598P,ENSG00000200887
RNU6-482P,ENSG00000212370
,ENSG00000283499
RNU6-795P,ENSG00000252132
RNU6-1271P,ENSG00000252858
RNU6-259P,ENSG00000206726
MIR1238,ENSG00000221410
RNU6-1158P,ENSG00000212469
MIR4674,ENSG00000265181
MIR6840,ENSG00000284012
RNU2-17P,ENSG00000222222
MIR524,ENSG00000283289
RNU6-40P,ENSG00000206981
RNU6-1284P,ENSG00000200571
SNORD115-28,ENSG00000200801
RN7SL554P,ENSG00000240936
,ENSG00000202517
RNU6-85P,ENSG00000271932
RN7SL164P,ENSG00000242614
MIR7160,ENSG00000273593
RNU6-1212P,ENSG00000252832
RNU6-1048P,ENSG00000200924
MIR2467,ENSG00000264292
,ENSG00000207408
RNU6-1287P,ENSG00000199784
,ENSG00000276048
RNU6-1117P,ENSG00000207255
MIR3152,ENSG00000264638
RN7SL41P,ENSG00000241550
,ENSG00000207094
MIR302B,ENSG00000284463
,ENSG00000201529
,ENSG00000201884
RNU6-1336P,ENSG00000206613
,ENSG00000277856
MIR3689F,ENSG00000266514
,ENSG00000276528
MIR3661,ENSG00000266751
